line 1 column 14924 - Warning: inserting implicit <p>
line 1 column 19262 - Warning: inserting implicit <p>
line 1 column 23503 - Warning: inserting implicit <p>
line 1 column 28981 - Warning: inserting implicit <p>
line 1 column 47829 - Warning: inserting implicit <p>
line 1 column 58128 - Warning: inserting implicit <p>
line 1 column 60388 - Warning: inserting implicit <p>
line 1 column 76073 - Warning: nested emphasis <em>
line 1 column 78573 - Warning: nested emphasis <em>
line 1 column 80741 - Warning: nested emphasis <em>
line 1 column 81782 - Warning: nested emphasis <em>
line 1 column 83245 - Warning: nested emphasis <em>
line 1 column 83567 - Warning: nested emphasis <em>
line 1 column 85351 - Warning: nested emphasis <em>
line 1 column 85727 - Warning: nested emphasis <em>
line 1 column 86058 - Warning: nested emphasis <em>
line 1 column 86369 - Warning: nested emphasis <em>
line 1 column 87358 - Warning: nested emphasis <em>
line 1 column 88291 - Warning: nested emphasis <em>
line 1 column 88824 - Warning: nested emphasis <em>
line 1 column 89133 - Warning: nested emphasis <em>
line 1 column 89782 - Warning: nested emphasis <em>
line 1 column 90150 - Warning: nested emphasis <em>
line 1 column 92626 - Warning: nested emphasis <em>
line 1 column 92909 - Warning: nested emphasis <em>
line 1 column 93536 - Warning: nested emphasis <em>
line 1 column 14487 - Warning: <img> attribute "longdesc" lacks value
line 1 column 17404 - Warning: <img> attribute "longdesc" lacks value
line 1 column 20005 - Warning: <img> attribute "longdesc" lacks value
line 1 column 20475 - Warning: <img> attribute "longdesc" lacks value
line 1 column 20913 - Warning: <img> attribute "longdesc" lacks value
line 1 column 21373 - Warning: <img> attribute "longdesc" lacks value
line 1 column 21895 - Warning: <img> attribute "longdesc" lacks value
line 1 column 22286 - Warning: <img> attribute "longdesc" lacks value
line 1 column 22669 - Warning: <img> attribute "longdesc" lacks value
line 1 column 23061 - Warning: <img> attribute "longdesc" lacks value
line 1 column 28611 - Warning: <img> attribute "longdesc" lacks value
line 1 column 30772 - Warning: <img> attribute "longdesc" lacks value
line 1 column 31220 - Warning: <img> attribute "longdesc" lacks value
line 1 column 31663 - Warning: <img> attribute "longdesc" lacks value
line 1 column 32121 - Warning: <img> attribute "longdesc" lacks value
line 1 column 46210 - Warning: <img> attribute "longdesc" lacks value
line 1 column 46821 - Warning: <img> attribute "longdesc" lacks value
line 1 column 47327 - Warning: <img> attribute "longdesc" lacks value
line 1 column 48063 - Warning: <table> lacks "summary" attribute
line 1 column 57278 - Warning: <img> attribute "longdesc" lacks value
line 1 column 57743 - Warning: <img> attribute "longdesc" lacks value
line 1 column 59804 - Warning: <img> attribute "longdesc" lacks value
line 1 column 5958 - Warning: <font> element removed from HTML5
line 1 column 6146 - Warning: <font> element removed from HTML5
line 1 column 40895 - Warning: <font> element removed from HTML5
line 1 column 64359 - Warning: <font> element removed from HTML5
line 1 column 10500 - Warning: <li> proprietary attribute "label"
line 1 column 11203 - Warning: <li> proprietary attribute "label"
line 1 column 11752 - Warning: <li> proprietary attribute "label"
line 1 column 29020 - Warning: <li> proprietary attribute "label"
line 1 column 29201 - Warning: <li> proprietary attribute "label"
line 1 column 29348 - Warning: <li> proprietary attribute "label"
line 1 column 29678 - Warning: <li> proprietary attribute "label"
line 1 column 29848 - Warning: <li> proprietary attribute "label"
line 1 column 30029 - Warning: <li> proprietary attribute "label"
line 1 column 30459 - Warning: <li> proprietary attribute "label"
line 1 column 66620 - Warning: <li> proprietary attribute "label"
line 1 column 66787 - Warning: <li> proprietary attribute "label"
line 1 column 66949 - Warning: <li> proprietary attribute "label"
line 1 column 67142 - Warning: <li> proprietary attribute "label"
line 1 column 67279 - Warning: <li> proprietary attribute "label"
line 1 column 67448 - Warning: <li> proprietary attribute "label"
line 1 column 67604 - Warning: <li> proprietary attribute "label"
line 1 column 67741 - Warning: <li> proprietary attribute "label"
line 1 column 67901 - Warning: <li> proprietary attribute "label"
line 1 column 68000 - Warning: <li> proprietary attribute "label"
line 1 column 68182 - Warning: <li> proprietary attribute "label"
line 1 column 75864 - Warning: <li> proprietary attribute "label"
line 1 column 76203 - Warning: <li> proprietary attribute "label"
line 1 column 76427 - Warning: <li> proprietary attribute "label"
line 1 column 76736 - Warning: <li> proprietary attribute "label"
line 1 column 77211 - Warning: <li> proprietary attribute "label"
line 1 column 77464 - Warning: <li> proprietary attribute "label"
line 1 column 77634 - Warning: <li> proprietary attribute "label"
line 1 column 77933 - Warning: <li> proprietary attribute "label"
line 1 column 78375 - Warning: <li> proprietary attribute "label"
line 1 column 78723 - Warning: <li> proprietary attribute "label"
line 1 column 78999 - Warning: <li> proprietary attribute "label"
line 1 column 79219 - Warning: <li> proprietary attribute "label"
line 1 column 79421 - Warning: <li> proprietary attribute "label"
line 1 column 79654 - Warning: <li> proprietary attribute "label"
line 1 column 79955 - Warning: <li> proprietary attribute "label"
