line 1 column 12758 - Warning: inserting implicit <p>
line 1 column 21712 - Warning: inserting implicit <p>
line 1 column 23927 - Warning: inserting implicit <p>
line 1 column 24689 - Warning: inserting implicit <p>
line 1 column 26621 - Warning: inserting implicit <p>
line 1 column 27342 - Warning: inserting implicit <p>
line 1 column 28643 - Warning: inserting implicit <p>
line 1 column 30836 - Warning: inserting implicit <p>
line 1 column 33386 - Warning: inserting implicit <p>
line 1 column 34171 - Warning: inserting implicit <p>
line 1 column 34777 - Warning: inserting implicit <p>
line 1 column 35868 - Warning: inserting implicit <p>
line 1 column 37899 - Warning: inserting implicit <p>
line 1 column 38703 - Warning: inserting implicit <p>
line 1 column 39811 - Warning: inserting implicit <p>
line 1 column 58247 - Warning: inserting implicit <p>
line 1 column 65897 - Warning: inserting implicit <p>
line 1 column 70686 - Warning: inserting implicit <p>
line 1 column 2059 - Warning: <a> anchor "foot-fn1" already defined
line 1 column 6903 - Warning: <img> attribute "longdesc" lacks value
line 1 column 12072 - Warning: <img> attribute "longdesc" lacks value
line 1 column 30336 - Warning: <img> attribute "longdesc" lacks value
line 1 column 40044 - Warning: <table> lacks "summary" attribute
line 1 column 44393 - Warning: <table> lacks "summary" attribute
line 1 column 49703 - Warning: <table> lacks "summary" attribute
line 1 column 57495 - Warning: <img> attribute "longdesc" lacks value
line 1 column 65093 - Warning: <img> attribute "longdesc" lacks value
line 1 column 70222 - Warning: <img> attribute "longdesc" lacks value
line 1 column 72222 - Warning: <table> lacks "summary" attribute
line 1 column 3114 - Warning: <tt> element removed from HTML5
line 1 column 3253 - Warning: <tt> element removed from HTML5
line 1 column 3953 - Warning: <tt> element removed from HTML5
line 1 column 4027 - Warning: <tt> element removed from HTML5
line 1 column 7853 - Warning: <tt> element removed from HTML5
line 1 column 7868 - Warning: <tt> element removed from HTML5
line 1 column 8221 - Warning: <tt> element removed from HTML5
line 1 column 8561 - Warning: <tt> element removed from HTML5
line 1 column 8670 - Warning: <tt> element removed from HTML5
line 1 column 9162 - Warning: <tt> element removed from HTML5
line 1 column 9409 - Warning: <tt> element removed from HTML5
line 1 column 9617 - Warning: <tt> element removed from HTML5
line 1 column 9806 - Warning: <tt> element removed from HTML5
line 1 column 9943 - Warning: <tt> element removed from HTML5
line 1 column 10151 - Warning: <tt> element removed from HTML5
line 1 column 10188 - Warning: <tt> element removed from HTML5
line 1 column 10402 - Warning: <tt> element removed from HTML5
line 1 column 18934 - Warning: <tt> element removed from HTML5
line 1 column 19094 - Warning: <tt> element removed from HTML5
line 1 column 19920 - Warning: <tt> element removed from HTML5
line 1 column 20061 - Warning: <tt> element removed from HTML5
line 1 column 20750 - Warning: <tt> element removed from HTML5
line 1 column 21728 - Warning: <tt> element removed from HTML5
line 1 column 22209 - Warning: <tt> element removed from HTML5
line 1 column 22454 - Warning: <tt> element removed from HTML5
line 1 column 24202 - Warning: <tt> element removed from HTML5
line 1 column 24747 - Warning: <tt> element removed from HTML5
line 1 column 25404 - Warning: <tt> element removed from HTML5
line 1 column 29702 - Warning: <tt> element removed from HTML5
line 1 column 29821 - Warning: <tt> element removed from HTML5
line 1 column 31048 - Warning: <tt> element removed from HTML5
line 1 column 31804 - Warning: <tt> element removed from HTML5
line 1 column 32086 - Warning: <tt> element removed from HTML5
line 1 column 32462 - Warning: <tt> element removed from HTML5
line 1 column 39689 - Warning: <tt> element removed from HTML5
line 1 column 43676 - Warning: <tt> element removed from HTML5
line 1 column 48984 - Warning: <tt> element removed from HTML5
line 1 column 49181 - Warning: <tt> element removed from HTML5
line 1 column 49320 - Warning: <tt> element removed from HTML5
line 1 column 49428 - Warning: <tt> element removed from HTML5
line 1 column 49462 - Warning: <tt> element removed from HTML5
line 1 column 49503 - Warning: <tt> element removed from HTML5
