line 1 column 27035 - Warning: inserting implicit <p>
line 1 column 28603 - Warning: inserting implicit <p>
line 1 column 29555 - Warning: inserting implicit <p>
line 1 column 36803 - Warning: inserting implicit <p>
line 1 column 37327 - Warning: inserting implicit <p>
line 1 column 42049 - Warning: inserting implicit <p>
line 1 column 44035 - Warning: inserting implicit <p>
line 1 column 45605 - Warning: inserting implicit <p>
line 1 column 46943 - Warning: inserting implicit <p>
line 1 column 49611 - Warning: inserting implicit <p>
line 1 column 51768 - Warning: inserting implicit <p>
line 1 column 54616 - Warning: inserting implicit <p>
line 1 column 91847 - Warning: inserting implicit <p>
line 1 column 100876 - Warning: nested emphasis <em>
line 1 column 101145 - Warning: nested emphasis <em>
line 1 column 101400 - Warning: nested emphasis <em>
line 1 column 101617 - Warning: nested emphasis <em>
line 1 column 101821 - Warning: nested emphasis <em>
line 1 column 102116 - Warning: nested emphasis <em>
line 1 column 102363 - Warning: nested emphasis <em>
line 1 column 102632 - Warning: nested emphasis <em>
line 1 column 102879 - Warning: nested emphasis <em>
line 1 column 103109 - Warning: nested emphasis <em>
line 1 column 103374 - Warning: nested emphasis <em>
line 1 column 103653 - Warning: nested emphasis <em>
line 1 column 103921 - Warning: nested emphasis <em>
line 1 column 104153 - Warning: nested emphasis <em>
line 1 column 104408 - Warning: nested emphasis <em>
line 1 column 104641 - Warning: nested emphasis <em>
line 1 column 104882 - Warning: nested emphasis <em>
line 1 column 105094 - Warning: nested emphasis <em>
line 1 column 105352 - Warning: nested emphasis <em>
line 1 column 105544 - Warning: nested emphasis <em>
line 1 column 105787 - Warning: nested emphasis <em>
line 1 column 105990 - Warning: nested emphasis <em>
line 1 column 106276 - Warning: nested emphasis <em>
line 1 column 106657 - Warning: nested emphasis <em>
line 1 column 106912 - Warning: nested emphasis <em>
line 1 column 107150 - Warning: nested emphasis <em>
line 1 column 107443 - Warning: nested emphasis <em>
line 1 column 107764 - Warning: nested emphasis <em>
line 1 column 108009 - Warning: nested emphasis <em>
line 1 column 108251 - Warning: nested emphasis <em>
line 1 column 67143 - Warning: <table> lacks "summary" attribute
line 1 column 72886 - Warning: <table> lacks "summary" attribute
line 1 column 81356 - Warning: <table> lacks "summary" attribute
line 1 column 83875 - Warning: <table> lacks "summary" attribute
line 1 column 86272 - Warning: <table> lacks "summary" attribute
line 1 column 88476 - Warning: <img> attribute "longdesc" lacks value
line 1 column 91521 - Warning: <img> attribute "longdesc" lacks value
line 1 column 96357 - Warning: <table> lacks "summary" attribute
line 1 column 32668 - Warning: <li> proprietary attribute "label"
line 1 column 32935 - Warning: <li> proprietary attribute "label"
line 1 column 33494 - Warning: <li> proprietary attribute "label"
line 1 column 55134 - Warning: <li> proprietary attribute "label"
line 1 column 55645 - Warning: <li> proprietary attribute "label"
line 1 column 56216 - Warning: <li> proprietary attribute "label"
line 1 column 58004 - Warning: <li> proprietary attribute "label"
line 1 column 58140 - Warning: <li> proprietary attribute "label"
line 1 column 58338 - Warning: <li> proprietary attribute "label"
line 1 column 58576 - Warning: <li> proprietary attribute "label"
line 1 column 59351 - Warning: <li> proprietary attribute "label"
line 1 column 64610 - Warning: <li> proprietary attribute "label"
line 1 column 64868 - Warning: <li> proprietary attribute "label"
line 1 column 65083 - Warning: <li> proprietary attribute "label"
line 1 column 65284 - Warning: <li> proprietary attribute "label"
line 1 column 65472 - Warning: <li> proprietary attribute "label"
line 1 column 100721 - Warning: <li> proprietary attribute "label"
line 1 column 100979 - Warning: <li> proprietary attribute "label"
line 1 column 101221 - Warning: <li> proprietary attribute "label"
line 1 column 101467 - Warning: <li> proprietary attribute "label"
line 1 column 101692 - Warning: <li> proprietary attribute "label"
line 1 column 101899 - Warning: <li> proprietary attribute "label"
line 1 column 102221 - Warning: <li> proprietary attribute "label"
line 1 column 102463 - Warning: <li> proprietary attribute "label"
line 1 column 102713 - Warning: <li> proprietary attribute "label"
line 1 column 102961 - Warning: <li> proprietary attribute "label"
line 1 column 103176 - Warning: <li> proprietary attribute "label"
line 1 column 103482 - Warning: <li> proprietary attribute "label"
line 1 column 103763 - Warning: <li> proprietary attribute "label"
line 1 column 104030 - Warning: <li> proprietary attribute "label"
line 1 column 104245 - Warning: <li> proprietary attribute "label"
line 1 column 104501 - Warning: <li> proprietary attribute "label"
line 1 column 104719 - Warning: <li> proprietary attribute "label"
line 1 column 104972 - Warning: <li> proprietary attribute "label"
line 1 column 105188 - Warning: <li> proprietary attribute "label"
line 1 column 105423 - Warning: <li> proprietary attribute "label"
line 1 column 105648 - Warning: <li> proprietary attribute "label"
line 1 column 105864 - Warning: <li> proprietary attribute "label"
line 1 column 106082 - Warning: <li> proprietary attribute "label"
line 1 column 106360 - Warning: <li> proprietary attribute "label"
line 1 column 106770 - Warning: <li> proprietary attribute "label"
line 1 column 106996 - Warning: <li> proprietary attribute "label"
line 1 column 107236 - Warning: <li> proprietary attribute "label"
line 1 column 107531 - Warning: <li> proprietary attribute "label"
line 1 column 107863 - Warning: <li> proprietary attribute "label"
line 1 column 108078 - Warning: <li> proprietary attribute "label"
