line 1 column 100761 - Warning: nested emphasis <em>
line 1 column 101015 - Warning: nested emphasis <em>
line 1 column 101364 - Warning: nested emphasis <em>
line 1 column 101687 - Warning: nested emphasis <em>
line 1 column 102413 - Warning: nested emphasis <em>
line 1 column 102856 - Warning: nested emphasis <em>
line 1 column 103190 - Warning: nested emphasis <em>
line 1 column 103905 - Warning: nested emphasis <em>
line 1 column 104806 - Warning: nested emphasis <em>
line 1 column 105352 - Warning: nested emphasis <em>
line 1 column 105647 - Warning: nested emphasis <em>
line 1 column 105963 - Warning: nested emphasis <em>
line 1 column 106193 - Warning: nested emphasis <em>
line 1 column 106844 - Warning: nested emphasis <em>
line 1 column 107493 - Warning: nested emphasis <em>
line 1 column 107789 - Warning: nested emphasis <em>
line 1 column 110260 - Warning: nested emphasis <em>
line 1 column 110471 - Warning: nested emphasis <em>
line 1 column 110785 - Warning: nested emphasis <em>
line 1 column 111323 - Warning: nested emphasis <em>
line 1 column 111513 - Warning: nested emphasis <em>
line 1 column 111798 - Warning: nested emphasis <em>
line 1 column 112048 - Warning: nested emphasis <em>
line 1 column 112325 - Warning: nested emphasis <em>
line 1 column 112636 - Warning: nested emphasis <em>
line 1 column 112970 - Warning: nested emphasis <em>
line 1 column 113260 - Warning: nested emphasis <em>
line 1 column 113458 - Warning: nested emphasis <em>
line 1 column 113679 - Warning: nested emphasis <em>
line 1 column 30789 - Warning: <table> lacks "summary" attribute
line 1 column 54369 - Warning: <table> lacks "summary" attribute
line 1 column 65163 - Warning: <table> lacks "summary" attribute
line 1 column 71355 - Warning: <table> lacks "summary" attribute
line 1 column 78478 - Warning: <table> lacks "summary" attribute
line 1 column 87869 - Warning: <table> lacks "summary" attribute
line 1 column 89355 - Warning: <table> lacks "summary" attribute
line 1 column 26118 - Warning: <font> element removed from HTML5
line 1 column 37819 - Warning: <li> proprietary attribute "label"
line 1 column 38167 - Warning: <li> proprietary attribute "label"
line 1 column 38356 - Warning: <li> proprietary attribute "label"
line 1 column 38703 - Warning: <li> proprietary attribute "label"
line 1 column 38892 - Warning: <li> proprietary attribute "label"
line 1 column 40500 - Warning: <li> proprietary attribute "label"
line 1 column 40662 - Warning: <li> proprietary attribute "label"
line 1 column 40837 - Warning: <li> proprietary attribute "label"
line 1 column 40983 - Warning: <li> proprietary attribute "label"
line 1 column 41138 - Warning: <li> proprietary attribute "label"
line 1 column 41237 - Warning: <li> proprietary attribute "label"
line 1 column 41394 - Warning: <li> proprietary attribute "label"
line 1 column 41542 - Warning: <li> proprietary attribute "label"
line 1 column 41709 - Warning: <li> proprietary attribute "label"
line 1 column 41791 - Warning: <li> proprietary attribute "label"
line 1 column 60137 - Warning: <li> proprietary attribute "label"
line 1 column 60626 - Warning: <li> proprietary attribute "label"
line 1 column 61169 - Warning: <li> proprietary attribute "label"
