line 1 column 19945 - Warning: inserting implicit <p>
line 1 column 21891 - Warning: inserting implicit <p>
line 1 column 29591 - Warning: inserting implicit <p>
line 1 column 34189 - Warning: inserting implicit <p>
line 1 column 36351 - Warning: inserting implicit <p>
line 1 column 42821 - Warning: inserting implicit <p>
line 1 column 45959 - Warning: inserting implicit <p>
line 1 column 49709 - Warning: inserting implicit <p>
line 1 column 63714 - Warning: inserting implicit <p>
line 1 column 67995 - Warning: inserting implicit <p>
line 1 column 80088 - Warning: inserting implicit <p>
line 1 column 94933 - Warning: inserting implicit <p>
line 1 column 97230 - Warning: inserting implicit <p>
line 1 column 102828 - Warning: inserting implicit <p>
line 1 column 105850 - Warning: inserting implicit <p>
line 1 column 114285 - Warning: nested emphasis <em>
line 1 column 114592 - Warning: nested emphasis <em>
line 1 column 114871 - Warning: nested emphasis <em>
line 1 column 115092 - Warning: nested emphasis <em>
line 1 column 115348 - Warning: nested emphasis <em>
line 1 column 115594 - Warning: nested emphasis <em>
line 1 column 115840 - Warning: nested emphasis <em>
line 1 column 116134 - Warning: nested emphasis <em>
line 1 column 116360 - Warning: nested emphasis <em>
line 1 column 116628 - Warning: nested emphasis <em>
line 1 column 116930 - Warning: nested emphasis <em>
line 1 column 117176 - Warning: nested emphasis <em>
line 1 column 117510 - Warning: nested emphasis <em>
line 1 column 117715 - Warning: nested emphasis <em>
line 1 column 117992 - Warning: nested emphasis <em>
line 1 column 118238 - Warning: nested emphasis <em>
line 1 column 118534 - Warning: nested emphasis <em>
line 1 column 118863 - Warning: nested emphasis <em>
line 1 column 119205 - Warning: nested emphasis <em>
line 1 column 119533 - Warning: nested emphasis <em>
line 1 column 119858 - Warning: nested emphasis <em>
line 1 column 120114 - Warning: nested emphasis <em>
line 1 column 120608 - Warning: nested emphasis <em>
line 1 column 120894 - Warning: nested emphasis <em>
line 1 column 121258 - Warning: nested emphasis <em>
line 1 column 121540 - Warning: nested emphasis <em>
line 1 column 121789 - Warning: nested emphasis <em>
line 1 column 7260 - Warning: <table> lacks "summary" attribute
line 1 column 19460 - Warning: <img> attribute "longdesc" lacks value
line 1 column 22092 - Warning: <table> lacks "summary" attribute
line 1 column 45804 - Warning: <img> attribute "longdesc" lacks value
line 1 column 51456 - Warning: <table> lacks "summary" attribute
line 1 column 80498 - Warning: <table> lacks "summary" attribute
line 1 column 83818 - Warning: <img> attribute "longdesc" lacks value
line 1 column 94116 - Warning: <img> attribute "longdesc" lacks value
line 1 column 96803 - Warning: <img> attribute "longdesc" lacks value
line 1 column 102264 - Warning: <img> attribute "longdesc" lacks value
line 1 column 104232 - Warning: <img> attribute "longdesc" lacks value
line 1 column 104743 - Warning: <img> attribute "longdesc" lacks value
line 1 column 105271 - Warning: <img> attribute "longdesc" lacks value
line 1 column 3608 - Warning: <font> element removed from HTML5
line 1 column 3813 - Warning: <font> element removed from HTML5
line 1 column 4078 - Warning: <font> element removed from HTML5
line 1 column 4142 - Warning: <font> element removed from HTML5
line 1 column 4208 - Warning: <font> element removed from HTML5
line 1 column 4397 - Warning: <font> element removed from HTML5
line 1 column 4691 - Warning: <font> element removed from HTML5
line 1 column 4842 - Warning: <font> element removed from HTML5
line 1 column 6679 - Warning: <font> element removed from HTML5
line 1 column 6730 - Warning: <font> element removed from HTML5
line 1 column 6842 - Warning: <font> element removed from HTML5
line 1 column 6949 - Warning: <font> element removed from HTML5
line 1 column 7080 - Warning: <font> element removed from HTML5
line 1 column 7134 - Warning: <font> element removed from HTML5
line 1 column 8801 - Warning: <font> element removed from HTML5
line 1 column 9370 - Warning: <font> element removed from HTML5
line 1 column 14879 - Warning: <font> element removed from HTML5
line 1 column 15050 - Warning: <font> element removed from HTML5
line 1 column 15140 - Warning: <font> element removed from HTML5
line 1 column 15479 - Warning: <font> element removed from HTML5
line 1 column 15661 - Warning: <font> element removed from HTML5
line 1 column 15780 - Warning: <font> element removed from HTML5
line 1 column 15941 - Warning: <font> element removed from HTML5
line 1 column 16007 - Warning: <font> element removed from HTML5
line 1 column 16169 - Warning: <font> element removed from HTML5
line 1 column 16529 - Warning: <font> element removed from HTML5
line 1 column 16583 - Warning: <font> element removed from HTML5
line 1 column 16778 - Warning: <font> element removed from HTML5
line 1 column 16829 - Warning: <font> element removed from HTML5
line 1 column 17072 - Warning: <font> element removed from HTML5
line 1 column 17200 - Warning: <font> element removed from HTML5
line 1 column 17266 - Warning: <font> element removed from HTML5
line 1 column 17544 - Warning: <font> element removed from HTML5
line 1 column 17634 - Warning: <font> element removed from HTML5
line 1 column 17951 - Warning: <font> element removed from HTML5
line 1 column 18005 - Warning: <font> element removed from HTML5
line 1 column 18115 - Warning: <font> element removed from HTML5
line 1 column 18248 - Warning: <font> element removed from HTML5
line 1 column 18789 - Warning: <font> element removed from HTML5
line 1 column 18924 - Warning: <font> element removed from HTML5
line 1 column 18978 - Warning: <font> element removed from HTML5
line 1 column 19763 - Warning: <font> element removed from HTML5
line 1 column 20301 - Warning: <font> element removed from HTML5
line 1 column 25768 - Warning: <font> element removed from HTML5
line 1 column 26234 - Warning: <font> element removed from HTML5
line 1 column 26377 - Warning: <font> element removed from HTML5
line 1 column 27362 - Warning: <font> element removed from HTML5
line 1 column 28809 - Warning: <font> element removed from HTML5
