line 1 column 38537 - Warning: inserting implicit <p>
line 1 column 43776 - Warning: inserting implicit <p>
line 1 column 46311 - Warning: inserting implicit <p>
line 1 column 49497 - Warning: inserting implicit <p>
line 1 column 52109 - Warning: inserting implicit <p>
line 1 column 55300 - Warning: inserting implicit <p>
line 1 column 59423 - Warning: inserting implicit <p>
line 1 column 63766 - Warning: inserting implicit <p>
line 1 column 69566 - Warning: inserting implicit <p>
line 1 column 85855 - Warning: inserting implicit <p>
line 1 column 88322 - Warning: inserting implicit <p>
line 1 column 93993 - Warning: inserting implicit <p>
line 1 column 32287 - Warning: <img> attribute "longdesc" lacks value
line 1 column 34055 - Warning: <img> attribute "longdesc" lacks value
line 1 column 36479 - Warning: <img> attribute "longdesc" lacks value
line 1 column 46342 - Warning: <img> attribute "longdesc" lacks value
line 1 column 70918 - Warning: <table> lacks "summary" attribute
line 1 column 76447 - Warning: <img> attribute "longdesc" lacks value
line 1 column 84282 - Warning: <img> attribute "longdesc" lacks value
line 1 column 87910 - Warning: <img> attribute "longdesc" lacks value
line 1 column 91651 - Warning: <img> attribute "longdesc" lacks value
line 1 column 93464 - Warning: <img> attribute "longdesc" lacks value
line 1 column 80667 - Warning: <li> proprietary attribute "label"
line 1 column 81109 - Warning: <li> proprietary attribute "label"
line 1 column 81681 - Warning: <li> proprietary attribute "label"
line 1 column 82032 - Warning: <li> proprietary attribute "label"
line 1 column 82459 - Warning: <li> proprietary attribute "label"
line 1 column 82787 - Warning: <li> proprietary attribute "label"
line 1 column 83052 - Warning: <li> proprietary attribute "label"
line 1 column 90098 - Warning: <li> proprietary attribute "label"
line 1 column 90496 - Warning: <li> proprietary attribute "label"
line 1 column 90699 - Warning: <li> proprietary attribute "label"
line 1 column 90921 - Warning: <li> proprietary attribute "label"
line 1 column 91187 - Warning: <li> proprietary attribute "label"
line 1 column 98785 - Warning: <li> proprietary attribute "label"
line 1 column 98964 - Warning: <li> proprietary attribute "label"
line 1 column 99143 - Warning: <li> proprietary attribute "label"
line 1 column 99344 - Warning: <li> proprietary attribute "label"
line 1 column 99502 - Warning: <li> proprietary attribute "label"
line 1 column 99751 - Warning: <li> proprietary attribute "label"
line 1 column 99986 - Warning: <li> proprietary attribute "label"
line 1 column 100243 - Warning: <li> proprietary attribute "label"
line 1 column 100430 - Warning: <li> proprietary attribute "label"
line 1 column 100650 - Warning: <li> proprietary attribute "label"
line 1 column 100854 - Warning: <li> proprietary attribute "label"
line 1 column 101019 - Warning: <li> proprietary attribute "label"
line 1 column 101260 - Warning: <li> proprietary attribute "label"
line 1 column 101520 - Warning: <li> proprietary attribute "label"
line 1 column 101763 - Warning: <li> proprietary attribute "label"
line 1 column 101877 - Warning: <li> proprietary attribute "label"
line 1 column 102093 - Warning: <li> proprietary attribute "label"
line 1 column 102274 - Warning: <li> proprietary attribute "label"
line 1 column 102509 - Warning: <li> proprietary attribute "label"
line 1 column 102769 - Warning: <li> proprietary attribute "label"
line 1 column 103022 - Warning: <li> proprietary attribute "label"
line 1 column 103231 - Warning: <li> proprietary attribute "label"
line 1 column 103500 - Warning: <li> proprietary attribute "label"
line 1 column 103637 - Warning: <li> proprietary attribute "label"
line 1 column 103823 - Warning: <li> proprietary attribute "label"
line 1 column 103995 - Warning: <li> proprietary attribute "label"
line 1 column 104288 - Warning: <li> proprietary attribute "label"
line 1 column 104464 - Warning: <li> proprietary attribute "label"
line 1 column 104625 - Warning: <li> proprietary attribute "label"
line 1 column 104838 - Warning: <li> proprietary attribute "label"
line 1 column 104989 - Warning: <li> proprietary attribute "label"
line 1 column 105210 - Warning: <li> proprietary attribute "label"
line 1 column 105445 - Warning: <li> proprietary attribute "label"
line 1 column 105641 - Warning: <li> proprietary attribute "label"
line 1 column 105910 - Warning: <li> proprietary attribute "label"
line 1 column 106042 - Warning: <li> proprietary attribute "label"
line 1 column 106314 - Warning: <li> proprietary attribute "label"
line 1 column 106492 - Warning: <li> proprietary attribute "label"
line 1 column 106708 - Warning: <li> proprietary attribute "label"
line 1 column 106878 - Warning: <li> proprietary attribute "label"
line 1 column 107066 - Warning: <li> proprietary attribute "label"
line 1 column 107288 - Warning: <li> proprietary attribute "label"
line 1 column 107650 - Warning: <li> proprietary attribute "label"
line 1 column 107823 - Warning: <li> proprietary attribute "label"
line 1 column 108034 - Warning: <li> proprietary attribute "label"
line 1 column 108293 - Warning: <li> proprietary attribute "label"
line 1 column 108487 - Warning: <li> proprietary attribute "label"
line 1 column 108755 - Warning: <li> proprietary attribute "label"
line 1 column 108959 - Warning: <li> proprietary attribute "label"
line 1 column 109231 - Warning: <li> proprietary attribute "label"
line 1 column 109425 - Warning: <li> proprietary attribute "label"
line 1 column 109592 - Warning: <li> proprietary attribute "label"
line 1 column 109805 - Warning: <li> proprietary attribute "label"
line 1 column 110016 - Warning: <li> proprietary attribute "label"
line 1 column 110214 - Warning: <li> proprietary attribute "label"
