line 1 column 17021 - Warning: nested emphasis <em>
line 1 column 17278 - Warning: nested emphasis <em>
line 1 column 17621 - Warning: nested emphasis <em>
line 1 column 17824 - Warning: nested emphasis <em>
line 1 column 18152 - Warning: nested emphasis <em>
line 1 column 18431 - Warning: nested emphasis <em>
line 1 column 18637 - Warning: nested emphasis <em>
line 1 column 18901 - Warning: nested emphasis <em>
line 1 column 19256 - Warning: nested emphasis <em>
line 1 column 19548 - Warning: nested emphasis <em>
line 1 column 1974 - Warning: <a> proprietary attribute "ref"
line 1 column 16823 - Warning: <li> proprietary attribute "label"
line 1 column 17098 - Warning: <li> proprietary attribute "label"
line 1 column 17427 - Warning: <li> proprietary attribute "label"
line 1 column 17698 - Warning: <li> proprietary attribute "label"
line 1 column 18008 - Warning: <li> proprietary attribute "label"
line 1 column 18255 - Warning: <li> proprietary attribute "label"
line 1 column 18506 - Warning: <li> proprietary attribute "label"
line 1 column 18740 - Warning: <li> proprietary attribute "label"
line 1 column 18971 - Warning: <li> proprietary attribute "label"
line 1 column 19359 - Warning: <li> proprietary attribute "label"
