line 1 column 15587 - Warning: nested emphasis <em>
line 1 column 9085 - Warning: <li> proprietary attribute "label"
line 1 column 9302 - Warning: <li> proprietary attribute "label"
line 1 column 9551 - Warning: <li> proprietary attribute "label"
line 1 column 9825 - Warning: <li> proprietary attribute "label"
line 1 column 10062 - Warning: <li> proprietary attribute "label"
line 1 column 11276 - Warning: <li> proprietary attribute "label"
line 1 column 11627 - Warning: <li> proprietary attribute "label"
line 1 column 11924 - Warning: <li> proprietary attribute "label"
line 1 column 12239 - Warning: <li> proprietary attribute "label"
line 1 column 12869 - Warning: <li> proprietary attribute "label"
line 1 column 13369 - Warning: <li> proprietary attribute "label"
line 1 column 13815 - Warning: <li> proprietary attribute "label"
line 1 column 14332 - Warning: <li> proprietary attribute "label"
line 1 column 15407 - Warning: <li> proprietary attribute "label"
