line 1 column 10914 - Warning: inserting implicit <p>
line 1 column 13046 - Warning: inserting implicit <p>
line 1 column 16653 - Warning: inserting implicit <p>
line 1 column 17718 - Warning: inserting implicit <p>
line 1 column 20596 - Warning: inserting implicit <p>
line 1 column 24442 - Warning: inserting implicit <p>
line 1 column 26372 - Warning: inserting implicit <p>
line 1 column 27926 - Warning: inserting implicit <p>
line 1 column 29458 - Warning: inserting implicit <p>
line 1 column 29922 - Warning: inserting implicit <p>
line 1 column 34384 - Warning: inserting implicit <p>
line 1 column 39731 - Warning: inserting implicit <p>
line 1 column 41561 - Warning: inserting implicit <p>
line 1 column 43648 - Warning: inserting implicit <p>
line 1 column 47302 - Warning: inserting implicit <p>
line 1 column 48265 - Warning: inserting implicit <p>
line 1 column 13886 - Warning: <img> attribute "longdesc" lacks value
line 1 column 17750 - Warning: <img> attribute "longdesc" lacks value
line 1 column 30816 - Warning: <img> attribute "longdesc" lacks value
line 1 column 31150 - Warning: <img> attribute "longdesc" lacks value
line 1 column 42172 - Warning: <table> lacks "summary" attribute
line 1 column 49439 - Warning: <img> attribute "longdesc" lacks value
line 1 column 49779 - Warning: <img> attribute "longdesc" lacks value
line 1 column 51190 - Warning: <img> attribute "longdesc" lacks value
line 1 column 53197 - Warning: <img> attribute "longdesc" lacks value
line 1 column 17036 - Warning: <li> proprietary attribute "label"
line 1 column 17152 - Warning: <li> proprietary attribute "label"
line 1 column 17435 - Warning: <li> proprietary attribute "label"
line 1 column 34608 - Warning: <li> proprietary attribute "label"
line 1 column 35145 - Warning: <li> proprietary attribute "label"
line 1 column 35483 - Warning: <li> proprietary attribute "label"
line 1 column 55992 - Warning: <li> proprietary attribute "label"
line 1 column 56245 - Warning: <li> proprietary attribute "label"
line 1 column 56445 - Warning: <li> proprietary attribute "label"
line 1 column 56661 - Warning: <li> proprietary attribute "label"
line 1 column 56903 - Warning: <li> proprietary attribute "label"
line 1 column 57108 - Warning: <li> proprietary attribute "label"
line 1 column 57379 - Warning: <li> proprietary attribute "label"
line 1 column 57530 - Warning: <li> proprietary attribute "label"
line 1 column 57787 - Warning: <li> proprietary attribute "label"
line 1 column 58050 - Warning: <li> proprietary attribute "label"
line 1 column 58294 - Warning: <li> proprietary attribute "label"
line 1 column 58638 - Warning: <li> proprietary attribute "label"
line 1 column 58888 - Warning: <li> proprietary attribute "label"
line 1 column 59043 - Warning: <li> proprietary attribute "label"
line 1 column 59231 - Warning: <li> proprietary attribute "label"
line 1 column 59502 - Warning: <li> proprietary attribute "label"
line 1 column 59674 - Warning: <li> proprietary attribute "label"
line 1 column 59958 - Warning: <li> proprietary attribute "label"
line 1 column 60096 - Warning: <li> proprietary attribute "label"
line 1 column 60286 - Warning: <li> proprietary attribute "label"
line 1 column 60513 - Warning: <li> proprietary attribute "label"
line 1 column 60718 - Warning: <li> proprietary attribute "label"
line 1 column 60869 - Warning: <li> proprietary attribute "label"
line 1 column 60987 - Warning: <li> proprietary attribute "label"
line 1 column 61186 - Warning: <li> proprietary attribute "label"
line 1 column 61412 - Warning: <li> proprietary attribute "label"
line 1 column 61559 - Warning: <li> proprietary attribute "label"
line 1 column 61759 - Warning: <li> proprietary attribute "label"
line 1 column 61960 - Warning: <li> proprietary attribute "label"
line 1 column 62165 - Warning: <li> proprietary attribute "label"
line 1 column 62366 - Warning: <li> proprietary attribute "label"
