line 1 column 21735 - Warning: <img> attribute "longdesc" lacks value
line 1 column 23942 - Warning: <img> attribute "longdesc" lacks value
line 1 column 25036 - Warning: <img> attribute "longdesc" lacks value
line 1 column 35377 - Warning: <table> lacks "summary" attribute
line 1 column 43027 - Warning: <li> proprietary attribute "label"
line 1 column 43274 - Warning: <li> proprietary attribute "label"
line 1 column 43437 - Warning: <li> proprietary attribute "label"
line 1 column 43651 - Warning: <li> proprietary attribute "label"
line 1 column 43790 - Warning: <li> proprietary attribute "label"
line 1 column 43962 - Warning: <li> proprietary attribute "label"
line 1 column 44190 - Warning: <li> proprietary attribute "label"
line 1 column 44416 - Warning: <li> proprietary attribute "label"
line 1 column 44626 - Warning: <li> proprietary attribute "label"
line 1 column 44856 - Warning: <li> proprietary attribute "label"
line 1 column 45040 - Warning: <li> proprietary attribute "label"
line 1 column 45295 - Warning: <li> proprietary attribute "label"
line 1 column 45518 - Warning: <li> proprietary attribute "label"
line 1 column 45691 - Warning: <li> proprietary attribute "label"
line 1 column 45961 - Warning: <li> proprietary attribute "label"
line 1 column 46194 - Warning: <li> proprietary attribute "label"
line 1 column 46444 - Warning: <li> proprietary attribute "label"
line 1 column 46628 - Warning: <li> proprietary attribute "label"
line 1 column 46842 - Warning: <li> proprietary attribute "label"
line 1 column 47042 - Warning: <li> proprietary attribute "label"
