line 1 column 19624 - Warning: inserting implicit <p>
line 1 column 20286 - Warning: inserting implicit <p>
line 1 column 29513 - Warning: nested emphasis <em>
line 1 column 29813 - Warning: nested emphasis <em>
line 1 column 29999 - Warning: nested emphasis <em>
line 1 column 30287 - Warning: nested emphasis <em>
line 1 column 30601 - Warning: nested emphasis <em>
line 1 column 30827 - Warning: nested emphasis <em>
line 1 column 31082 - Warning: nested emphasis <em>
line 1 column 31296 - Warning: nested emphasis <em>
line 1 column 31552 - Warning: nested emphasis <em>
line 1 column 31877 - Warning: nested emphasis <em>
line 1 column 32195 - Warning: nested emphasis <em>
line 1 column 32442 - Warning: nested emphasis <em>
line 1 column 32667 - Warning: nested emphasis <em>
line 1 column 32921 - Warning: nested emphasis <em>
line 1 column 33144 - Warning: nested emphasis <em>
line 1 column 33446 - Warning: nested emphasis <em>
line 1 column 33667 - Warning: nested emphasis <em>
line 1 column 33891 - Warning: nested emphasis <em>
line 1 column 18770 - Warning: <img> attribute "longdesc" lacks value
line 1 column 19195 - Warning: <img> attribute "longdesc" lacks value
line 1 column 19857 - Warning: <img> attribute "longdesc" lacks value
line 1 column 25056 - Warning: <table> lacks "summary" attribute
line 1 column 26919 - Warning: <img> attribute "longdesc" lacks value
line 1 column 1743 - Warning: <a> proprietary attribute "ref"
line 1 column 11633 - Warning: <li> proprietary attribute "label"
line 1 column 11828 - Warning: <li> proprietary attribute "label"
line 1 column 20325 - Warning: <li> proprietary attribute "label"
line 1 column 20383 - Warning: <li> proprietary attribute "label"
line 1 column 20433 - Warning: <li> proprietary attribute "label"
line 1 column 20484 - Warning: <li> proprietary attribute "label"
line 1 column 20539 - Warning: <li> proprietary attribute "label"
line 1 column 20587 - Warning: <li> proprietary attribute "label"
line 1 column 20661 - Warning: <li> proprietary attribute "label"
line 1 column 20732 - Warning: <li> proprietary attribute "label"
line 1 column 20782 - Warning: <li> proprietary attribute "label"
line 1 column 29249 - Warning: <li> proprietary attribute "label"
line 1 column 29607 - Warning: <li> proprietary attribute "label"
line 1 column 29916 - Warning: <li> proprietary attribute "label"
line 1 column 30066 - Warning: <li> proprietary attribute "label"
line 1 column 30406 - Warning: <li> proprietary attribute "label"
line 1 column 30700 - Warning: <li> proprietary attribute "label"
line 1 column 30947 - Warning: <li> proprietary attribute "label"
line 1 column 31210 - Warning: <li> proprietary attribute "label"
line 1 column 31397 - Warning: <li> proprietary attribute "label"
line 1 column 31697 - Warning: <li> proprietary attribute "label"
line 1 column 32036 - Warning: <li> proprietary attribute "label"
line 1 column 32342 - Warning: <li> proprietary attribute "label"
line 1 column 32547 - Warning: <li> proprietary attribute "label"
line 1 column 32739 - Warning: <li> proprietary attribute "label"
line 1 column 33016 - Warning: <li> proprietary attribute "label"
line 1 column 33215 - Warning: <li> proprietary attribute "label"
line 1 column 33539 - Warning: <li> proprietary attribute "label"
line 1 column 33758 - Warning: <li> proprietary attribute "label"
