line 1 column 38910 - Warning: nested emphasis <em>
line 1 column 39972 - Warning: nested emphasis <em>
line 1 column 40299 - Warning: nested emphasis <em>
line 1 column 40677 - Warning: nested emphasis <em>
line 1 column 40914 - Warning: nested emphasis <em>
line 1 column 41371 - Warning: nested emphasis <em>
line 1 column 42123 - Warning: nested emphasis <em>
line 1 column 42256 - Warning: nested emphasis <em>
line 1 column 42507 - Warning: nested emphasis <em>
line 1 column 43055 - Warning: nested emphasis <em>
line 1 column 43343 - Warning: nested emphasis <em>
line 1 column 43619 - Warning: nested emphasis <em>
line 1 column 43957 - Warning: nested emphasis <em>
line 1 column 44243 - Warning: nested emphasis <em>
line 1 column 44578 - Warning: nested emphasis <em>
line 1 column 44811 - Warning: nested emphasis <em>
line 1 column 45114 - Warning: nested emphasis <em>
line 1 column 45489 - Warning: nested emphasis <em>
line 1 column 46540 - Warning: nested emphasis <em>
line 1 column 46861 - Warning: nested emphasis <em>
line 1 column 47190 - Warning: nested emphasis <em>
line 1 column 47468 - Warning: nested emphasis <em>
line 1 column 47996 - Warning: nested emphasis <em>
line 1 column 48397 - Warning: nested emphasis <em>
line 1 column 48734 - Warning: nested emphasis <em>
line 1 column 49359 - Warning: nested emphasis <em>
line 1 column 49682 - Warning: nested emphasis <em>
line 1 column 50008 - Warning: nested emphasis <em>
line 1 column 50884 - Warning: nested emphasis <em>
line 1 column 51197 - Warning: nested emphasis <em>
line 1 column 51432 - Warning: nested emphasis <em>
line 1 column 20137 - Warning: <img> attribute "longdesc" lacks value
line 1 column 31117 - Warning: <table> lacks "summary" attribute
line 1 column 32007 - Warning: <tt> element removed from HTML5
line 1 column 32082 - Warning: <tt> element removed from HTML5
line 1 column 32136 - Warning: <tt> element removed from HTML5
line 1 column 1700 - Warning: <a> proprietary attribute "ref"
line 1 column 9230 - Warning: <li> proprietary attribute "label"
line 1 column 10147 - Warning: <li> proprietary attribute "label"
line 1 column 11170 - Warning: <li> proprietary attribute "label"
line 1 column 38641 - Warning: <li> proprietary attribute "label"
line 1 column 38985 - Warning: <li> proprietary attribute "label"
line 1 column 39353 - Warning: <li> proprietary attribute "label"
line 1 column 39759 - Warning: <li> proprietary attribute "label"
line 1 column 40140 - Warning: <li> proprietary attribute "label"
line 1 column 40424 - Warning: <li> proprietary attribute "label"
line 1 column 40772 - Warning: <li> proprietary attribute "label"
line 1 column 41040 - Warning: <li> proprietary attribute "label"
line 1 column 41206 - Warning: <li> proprietary attribute "label"
line 1 column 41556 - Warning: <li> proprietary attribute "label"
line 1 column 41934 - Warning: <li> proprietary attribute "label"
line 1 column 42199 - Warning: <li> proprietary attribute "label"
line 1 column 42376 - Warning: <li> proprietary attribute "label"
line 1 column 42648 - Warning: <li> proprietary attribute "label"
line 1 column 42808 - Warning: <li> proprietary attribute "label"
line 1 column 43170 - Warning: <li> proprietary attribute "label"
line 1 column 43473 - Warning: <li> proprietary attribute "label"
line 1 column 43779 - Warning: <li> proprietary attribute "label"
line 1 column 44046 - Warning: <li> proprietary attribute "label"
line 1 column 44413 - Warning: <li> proprietary attribute "label"
line 1 column 44677 - Warning: <li> proprietary attribute "label"
line 1 column 44934 - Warning: <li> proprietary attribute "label"
line 1 column 45282 - Warning: <li> proprietary attribute "label"
line 1 column 45578 - Warning: <li> proprietary attribute "label"
line 1 column 45935 - Warning: <li> proprietary attribute "label"
line 1 column 46311 - Warning: <li> proprietary attribute "label"
line 1 column 46658 - Warning: <li> proprietary attribute "label"
line 1 column 46982 - Warning: <li> proprietary attribute "label"
line 1 column 47314 - Warning: <li> proprietary attribute "label"
line 1 column 47598 - Warning: <li> proprietary attribute "label"
line 1 column 47819 - Warning: <li> proprietary attribute "label"
line 1 column 48106 - Warning: <li> proprietary attribute "label"
line 1 column 48533 - Warning: <li> proprietary attribute "label"
line 1 column 48920 - Warning: <li> proprietary attribute "label"
line 1 column 49176 - Warning: <li> proprietary attribute "label"
line 1 column 49527 - Warning: <li> proprietary attribute "label"
line 1 column 49850 - Warning: <li> proprietary attribute "label"
line 1 column 50143 - Warning: <li> proprietary attribute "label"
line 1 column 50385 - Warning: <li> proprietary attribute "label"
line 1 column 50723 - Warning: <li> proprietary attribute "label"
line 1 column 50993 - Warning: <li> proprietary attribute "label"
line 1 column 51287 - Warning: <li> proprietary attribute "label"
