line 1 column 20877 - Warning: inserting implicit <p>
line 1 column 24006 - Warning: inserting implicit <p>
line 1 column 39403 - Warning: nested emphasis <em>
line 1 column 39867 - Warning: nested emphasis <em>
line 1 column 40182 - Warning: nested emphasis <em>
line 1 column 40577 - Warning: nested emphasis <em>
line 1 column 40861 - Warning: nested emphasis <em>
line 1 column 41272 - Warning: nested emphasis <em>
line 1 column 41704 - Warning: nested emphasis <em>
line 1 column 42044 - Warning: nested emphasis <em>
line 1 column 42443 - Warning: nested emphasis <em>
line 1 column 42686 - Warning: nested emphasis <em>
line 1 column 42937 - Warning: nested emphasis <em>
line 1 column 43144 - Warning: nested emphasis <em>
line 1 column 43568 - Warning: nested emphasis <em>
line 1 column 43820 - Warning: nested emphasis <em>
line 1 column 44085 - Warning: nested emphasis <em>
line 1 column 44559 - Warning: nested emphasis <em>
line 1 column 45093 - Warning: nested emphasis <em>
line 1 column 45302 - Warning: nested emphasis <em>
line 1 column 45522 - Warning: nested emphasis <em>
line 1 column 45730 - Warning: nested emphasis <em>
line 1 column 45927 - Warning: nested emphasis <em>
line 1 column 46184 - Warning: nested emphasis <em>
line 1 column 46449 - Warning: nested emphasis <em>
line 1 column 8938 - Warning: <img> attribute "longdesc" lacks value
line 1 column 10511 - Warning: <img> attribute "longdesc" lacks value
line 1 column 11089 - Warning: <table> lacks "summary" attribute
line 1 column 20457 - Warning: <img> attribute "longdesc" lacks value
line 1 column 29201 - Warning: <img> attribute "longdesc" lacks value
line 1 column 13545 - Warning: <li> proprietary attribute "label"
line 1 column 13714 - Warning: <li> proprietary attribute "label"
line 1 column 13836 - Warning: <li> proprietary attribute "label"
line 1 column 14187 - Warning: <li> proprietary attribute "label"
line 1 column 39281 - Warning: <li> proprietary attribute "label"
line 1 column 39734 - Warning: <li> proprietary attribute "label"
line 1 column 40047 - Warning: <li> proprietary attribute "label"
line 1 column 40377 - Warning: <li> proprietary attribute "label"
line 1 column 40675 - Warning: <li> proprietary attribute "label"
line 1 column 41139 - Warning: <li> proprietary attribute "label"
line 1 column 41576 - Warning: <li> proprietary attribute "label"
line 1 column 41918 - Warning: <li> proprietary attribute "label"
line 1 column 42229 - Warning: <li> proprietary attribute "label"
line 1 column 42538 - Warning: <li> proprietary attribute "label"
line 1 column 42752 - Warning: <li> proprietary attribute "label"
line 1 column 43048 - Warning: <li> proprietary attribute "label"
line 1 column 43432 - Warning: <li> proprietary attribute "label"
line 1 column 43684 - Warning: <li> proprietary attribute "label"
line 1 column 44008 - Warning: <li> proprietary attribute "label"
line 1 column 44419 - Warning: <li> proprietary attribute "label"
line 1 column 44859 - Warning: <li> proprietary attribute "label"
line 1 column 45177 - Warning: <li> proprietary attribute "label"
line 1 column 45401 - Warning: <li> proprietary attribute "label"
line 1 column 45610 - Warning: <li> proprietary attribute "label"
line 1 column 45849 - Warning: <li> proprietary attribute "label"
line 1 column 46088 - Warning: <li> proprietary attribute "label"
line 1 column 46272 - Warning: <li> proprietary attribute "label"
