line 1 column 22391 - Warning: nested emphasis <em>
line 1 column 22585 - Warning: nested emphasis <em>
line 1 column 22783 - Warning: nested emphasis <em>
line 1 column 23023 - Warning: nested emphasis <em>
line 1 column 23210 - Warning: nested emphasis <em>
line 1 column 23395 - Warning: nested emphasis <em>
line 1 column 23588 - Warning: nested emphasis <em>
line 1 column 23737 - Warning: nested emphasis <em>
line 1 column 23981 - Warning: nested emphasis <em>
line 1 column 24177 - Warning: nested emphasis <em>
line 1 column 24406 - Warning: nested emphasis <em>
line 1 column 24762 - Warning: nested emphasis <em>
line 1 column 24963 - Warning: nested emphasis <em>
line 1 column 25122 - Warning: nested emphasis <em>
line 1 column 9860 - Warning: <img> attribute "longdesc" lacks value
line 1 column 19185 - Warning: <table> lacks "summary" attribute
line 1 column 19271 - Warning: <img> attribute "longdesc" lacks value
line 1 column 13112 - Warning: <li> proprietary attribute "label"
line 1 column 13429 - Warning: <li> proprietary attribute "label"
line 1 column 22021 - Warning: <li> proprietary attribute "label"
line 1 column 22194 - Warning: <li> proprietary attribute "label"
line 1 column 22446 - Warning: <li> proprietary attribute "label"
line 1 column 22679 - Warning: <li> proprietary attribute "label"
line 1 column 22847 - Warning: <li> proprietary attribute "label"
line 1 column 23078 - Warning: <li> proprietary attribute "label"
line 1 column 23256 - Warning: <li> proprietary attribute "label"
line 1 column 23441 - Warning: <li> proprietary attribute "label"
line 1 column 23640 - Warning: <li> proprietary attribute "label"
line 1 column 23783 - Warning: <li> proprietary attribute "label"
line 1 column 24024 - Warning: <li> proprietary attribute "label"
line 1 column 24233 - Warning: <li> proprietary attribute "label"
line 1 column 24461 - Warning: <li> proprietary attribute "label"
line 1 column 24589 - Warning: <li> proprietary attribute "label"
line 1 column 24805 - Warning: <li> proprietary attribute "label"
line 1 column 25006 - Warning: <li> proprietary attribute "label"
