line 1 column 11414 - Warning: inserting implicit <p>
line 1 column 13393 - Warning: inserting implicit <p>
line 1 column 18670 - Warning: inserting implicit <p>
line 1 column 26335 - Warning: nested emphasis <em>
line 1 column 26636 - Warning: nested emphasis <em>
line 1 column 26924 - Warning: nested emphasis <em>
line 1 column 27523 - Warning: nested emphasis <em>
line 1 column 27750 - Warning: nested emphasis <em>
line 1 column 28010 - Warning: nested emphasis <em>
line 1 column 28304 - Warning: nested emphasis <em>
line 1 column 28805 - Warning: nested emphasis <em>
line 1 column 29100 - Warning: nested emphasis <em>
line 1 column 29609 - Warning: nested emphasis <em>
line 1 column 30048 - Warning: nested emphasis <em>
line 1 column 11067 - Warning: <img> attribute "longdesc" lacks value
line 1 column 12982 - Warning: <img> attribute "longdesc" lacks value
line 1 column 18319 - Warning: <img> attribute "longdesc" lacks value
line 1 column 19816 - Warning: <table> lacks "summary" attribute
line 1 column 26198 - Warning: <li> proprietary attribute "label"
line 1 column 26440 - Warning: <li> proprietary attribute "label"
line 1 column 26770 - Warning: <li> proprietary attribute "label"
line 1 column 27016 - Warning: <li> proprietary attribute "label"
line 1 column 27343 - Warning: <li> proprietary attribute "label"
line 1 column 27613 - Warning: <li> proprietary attribute "label"
line 1 column 27807 - Warning: <li> proprietary attribute "label"
line 1 column 28145 - Warning: <li> proprietary attribute "label"
line 1 column 28421 - Warning: <li> proprietary attribute "label"
line 1 column 28617 - Warning: <li> proprietary attribute "label"
line 1 column 28928 - Warning: <li> proprietary attribute "label"
line 1 column 29249 - Warning: <li> proprietary attribute "label"
line 1 column 29659 - Warning: <li> proprietary attribute "label"
line 1 column 29883 - Warning: <li> proprietary attribute "label"
