line 1 column 10422 - Warning: inserting implicit <p>
line 1 column 16787 - Warning: inserting implicit <p>
line 1 column 18002 - Warning: inserting implicit <p>
line 1 column 18867 - Warning: inserting implicit <p>
line 1 column 20504 - Warning: inserting implicit <p>
line 1 column 34037 - Warning: nested emphasis <em>
line 1 column 34304 - Warning: nested emphasis <em>
line 1 column 34563 - Warning: nested emphasis <em>
line 1 column 34945 - Warning: nested emphasis <em>
line 1 column 35157 - Warning: nested emphasis <em>
line 1 column 35392 - Warning: nested emphasis <em>
line 1 column 35648 - Warning: nested emphasis <em>
line 1 column 35878 - Warning: nested emphasis <em>
line 1 column 36190 - Warning: nested emphasis <em>
line 1 column 36561 - Warning: nested emphasis <em>
line 1 column 36811 - Warning: nested emphasis <em>
line 1 column 37011 - Warning: nested emphasis <em>
line 1 column 37265 - Warning: nested emphasis <em>
line 1 column 37550 - Warning: nested emphasis <em>
line 1 column 10066 - Warning: <img> attribute "longdesc" lacks value
line 1 column 22822 - Warning: <img> attribute "longdesc" lacks value
line 1 column 25697 - Warning: <a> escaping malformed URI reference
line 1 column 25697 - Warning: <a> illegal characters found in URI
line 1 column 25880 - Warning: <a> escaping malformed URI reference
line 1 column 25880 - Warning: <a> illegal characters found in URI
line 1 column 29721 - Warning: <table> lacks "summary" attribute
line 1 column 10710 - Warning: <li> proprietary attribute "label"
line 1 column 10940 - Warning: <li> proprietary attribute "label"
line 1 column 11189 - Warning: <li> proprietary attribute "label"
line 1 column 11644 - Warning: <li> proprietary attribute "label"
line 1 column 12461 - Warning: <li> proprietary attribute "label"
line 1 column 12676 - Warning: <li> proprietary attribute "label"
line 1 column 33877 - Warning: <li> proprietary attribute "label"
line 1 column 34100 - Warning: <li> proprietary attribute "label"
line 1 column 34407 - Warning: <li> proprietary attribute "label"
line 1 column 34651 - Warning: <li> proprietary attribute "label"
line 1 column 35019 - Warning: <li> proprietary attribute "label"
line 1 column 35216 - Warning: <li> proprietary attribute "label"
line 1 column 35450 - Warning: <li> proprietary attribute "label"
line 1 column 35727 - Warning: <li> proprietary attribute "label"
line 1 column 35985 - Warning: <li> proprietary attribute "label"
line 1 column 36313 - Warning: <li> proprietary attribute "label"
line 1 column 36640 - Warning: <li> proprietary attribute "label"
line 1 column 36874 - Warning: <li> proprietary attribute "label"
line 1 column 37105 - Warning: <li> proprietary attribute "label"
line 1 column 37354 - Warning: <li> proprietary attribute "label"
