line 1 column 4346 - Warning: replacing unexpected strong with </strong>
line 1 column 4398 - Warning: replacing unexpected em with </em>
line 1 column 13276 - Warning: inserting implicit <p>
line 1 column 23699 - Warning: inserting implicit <p>
line 1 column 27932 - Warning: inserting implicit <p>
line 1 column 38909 - Warning: nested emphasis <em>
line 1 column 39330 - Warning: nested emphasis <em>
line 1 column 39621 - Warning: nested emphasis <em>
line 1 column 40141 - Warning: nested emphasis <em>
line 1 column 40619 - Warning: nested emphasis <em>
line 1 column 40969 - Warning: nested emphasis <em>
line 1 column 41823 - Warning: nested emphasis <em>
line 1 column 42180 - Warning: nested emphasis <em>
line 1 column 42503 - Warning: nested emphasis <em>
line 1 column 42955 - Warning: nested emphasis <em>
line 1 column 43340 - Warning: nested emphasis <em>
line 1 column 43622 - Warning: nested emphasis <em>
line 1 column 43982 - Warning: nested emphasis <em>
line 1 column 44452 - Warning: nested emphasis <em>
line 1 column 44759 - Warning: nested emphasis <em>
line 1 column 45134 - Warning: nested emphasis <em>
line 1 column 45623 - Warning: nested emphasis <em>
line 1 column 46090 - Warning: nested emphasis <em>
line 1 column 12949 - Warning: <img> attribute "longdesc" lacks value
line 1 column 16617 - Warning: <img> attribute "longdesc" lacks value
line 1 column 23321 - Warning: <img> attribute "longdesc" lacks value
line 1 column 27191 - Warning: <img> attribute "longdesc" lacks value
line 1 column 27570 - Warning: <img> attribute "longdesc" lacks value
line 1 column 32333 - Warning: <table> lacks "summary" attribute
line 1 column 41109 - Warning: <a> escaping malformed URI reference
line 1 column 41109 - Warning: <a> illegal characters found in URI
line 1 column 15618 - Warning: <li> proprietary attribute "label"
line 1 column 15826 - Warning: <li> proprietary attribute "label"
line 1 column 15992 - Warning: <li> proprietary attribute "label"
line 1 column 16242 - Warning: <li> proprietary attribute "label"
line 1 column 16398 - Warning: <li> proprietary attribute "label"
line 1 column 38695 - Warning: <li> proprietary attribute "label"
line 1 column 39193 - Warning: <li> proprietary attribute "label"
line 1 column 39564 - Warning: <li> proprietary attribute "label"
line 1 column 39970 - Warning: <li> proprietary attribute "label"
line 1 column 40389 - Warning: <li> proprietary attribute "label"
line 1 column 40745 - Warning: <li> proprietary attribute "label"
line 1 column 41074 - Warning: <li> proprietary attribute "label"
line 1 column 41360 - Warning: <li> proprietary attribute "label"
line 1 column 41666 - Warning: <li> proprietary attribute "label"
line 1 column 42057 - Warning: <li> proprietary attribute "label"
line 1 column 42311 - Warning: <li> proprietary attribute "label"
line 1 column 42826 - Warning: <li> proprietary attribute "label"
line 1 column 43219 - Warning: <li> proprietary attribute "label"
line 1 column 43431 - Warning: <li> proprietary attribute "label"
line 1 column 43788 - Warning: <li> proprietary attribute "label"
line 1 column 44279 - Warning: <li> proprietary attribute "label"
line 1 column 44573 - Warning: <li> proprietary attribute "label"
line 1 column 45009 - Warning: <li> proprietary attribute "label"
line 1 column 45412 - Warning: <li> proprietary attribute "label"
line 1 column 45923 - Warning: <li> proprietary attribute "label"
