line 1 column 26077 - Warning: inserting implicit <p>
line 1 column 44326 - Warning: nested emphasis <em>
line 1 column 44724 - Warning: nested emphasis <em>
line 1 column 45220 - Warning: nested emphasis <em>
line 1 column 45635 - Warning: nested emphasis <em>
line 1 column 46540 - Warning: nested emphasis <em>
line 1 column 46922 - Warning: nested emphasis <em>
line 1 column 47296 - Warning: nested emphasis <em>
line 1 column 47638 - Warning: nested emphasis <em>
line 1 column 48146 - Warning: nested emphasis <em>
line 1 column 48603 - Warning: nested emphasis <em>
line 1 column 48821 - Warning: nested emphasis <em>
line 1 column 49366 - Warning: nested emphasis <em>
line 1 column 49743 - Warning: nested emphasis <em>
line 1 column 50230 - Warning: nested emphasis <em>
line 1 column 50560 - Warning: nested emphasis <em>
line 1 column 51125 - Warning: nested emphasis <em>
line 1 column 51537 - Warning: nested emphasis <em>
line 1 column 51894 - Warning: nested emphasis <em>
line 1 column 52121 - Warning: nested emphasis <em>
line 1 column 52589 - Warning: nested emphasis <em>
line 1 column 52922 - Warning: nested emphasis <em>
line 1 column 53516 - Warning: nested emphasis <em>
line 1 column 53910 - Warning: nested emphasis <em>
line 1 column 54146 - Warning: nested emphasis <em>
line 1 column 25052 - Warning: <img> attribute "longdesc" lacks value
line 1 column 25653 - Warning: <img> attribute "longdesc" lacks value
line 1 column 30943 - Warning: <table> lacks "summary" attribute
line 1 column 1705 - Warning: <a> proprietary attribute "ref"
line 1 column 14329 - Warning: <li> proprietary attribute "label"
line 1 column 14619 - Warning: <li> proprietary attribute "label"
line 1 column 14847 - Warning: <li> proprietary attribute "label"
line 1 column 20694 - Warning: <li> proprietary attribute "label"
line 1 column 20985 - Warning: <li> proprietary attribute "label"
line 1 column 21462 - Warning: <li> proprietary attribute "label"
line 1 column 21858 - Warning: <li> proprietary attribute "label"
line 1 column 22333 - Warning: <li> proprietary attribute "label"
line 1 column 22512 - Warning: <li> proprietary attribute "label"
line 1 column 22690 - Warning: <li> proprietary attribute "label"
line 1 column 44194 - Warning: <li> proprietary attribute "label"
line 1 column 44615 - Warning: <li> proprietary attribute "label"
line 1 column 45000 - Warning: <li> proprietary attribute "label"
line 1 column 45463 - Warning: <li> proprietary attribute "label"
line 1 column 45955 - Warning: <li> proprietary attribute "label"
line 1 column 46413 - Warning: <li> proprietary attribute "label"
line 1 column 46723 - Warning: <li> proprietary attribute "label"
line 1 column 47177 - Warning: <li> proprietary attribute "label"
line 1 column 47511 - Warning: <li> proprietary attribute "label"
line 1 column 47911 - Warning: <li> proprietary attribute "label"
line 1 column 48385 - Warning: <li> proprietary attribute "label"
line 1 column 48697 - Warning: <li> proprietary attribute "label"
line 1 column 49209 - Warning: <li> proprietary attribute "label"
line 1 column 49618 - Warning: <li> proprietary attribute "label"
line 1 column 50066 - Warning: <li> proprietary attribute "label"
line 1 column 50354 - Warning: <li> proprietary attribute "label"
line 1 column 50962 - Warning: <li> proprietary attribute "label"
line 1 column 51444 - Warning: <li> proprietary attribute "label"
line 1 column 51758 - Warning: <li> proprietary attribute "label"
line 1 column 51986 - Warning: <li> proprietary attribute "label"
line 1 column 52416 - Warning: <li> proprietary attribute "label"
line 1 column 52836 - Warning: <li> proprietary attribute "label"
line 1 column 53272 - Warning: <li> proprietary attribute "label"
line 1 column 53734 - Warning: <li> proprietary attribute "label"
line 1 column 53981 - Warning: <li> proprietary attribute "label"
