line 1 column 18093 - Warning: inserting implicit <p>
line 1 column 19489 - Warning: inserting implicit <p>
line 1 column 20927 - Warning: inserting implicit <p>
line 1 column 32585 - Warning: nested emphasis <em>
line 1 column 32934 - Warning: nested emphasis <em>
line 1 column 33192 - Warning: nested emphasis <em>
line 1 column 33437 - Warning: nested emphasis <em>
line 1 column 33684 - Warning: nested emphasis <em>
line 1 column 33943 - Warning: nested emphasis <em>
line 1 column 34216 - Warning: nested emphasis <em>
line 1 column 34501 - Warning: nested emphasis <em>
line 1 column 34795 - Warning: nested emphasis <em>
line 1 column 9423 - Warning: <img> attribute "longdesc" lacks value
line 1 column 20533 - Warning: <img> attribute "longdesc" lacks value
line 1 column 22126 - Warning: <table> lacks "summary" attribute
line 1 column 30574 - Warning: <img> attribute "longdesc" lacks value
line 1 column 8932 - Warning: <li> proprietary attribute "label"
line 1 column 9028 - Warning: <li> proprietary attribute "label"
line 1 column 9191 - Warning: <li> proprietary attribute "label"
line 1 column 12044 - Warning: <li> proprietary attribute "label"
line 1 column 12472 - Warning: <li> proprietary attribute "label"
line 1 column 12971 - Warning: <li> proprietary attribute "label"
line 1 column 13299 - Warning: <li> proprietary attribute "label"
line 1 column 29398 - Warning: <li> proprietary attribute "label"
line 1 column 29498 - Warning: <li> proprietary attribute "label"
line 1 column 29595 - Warning: <li> proprietary attribute "label"
line 1 column 32377 - Warning: <li> proprietary attribute "label"
line 1 column 32651 - Warning: <li> proprietary attribute "label"
line 1 column 33014 - Warning: <li> proprietary attribute "label"
line 1 column 33258 - Warning: <li> proprietary attribute "label"
line 1 column 33484 - Warning: <li> proprietary attribute "label"
line 1 column 33790 - Warning: <li> proprietary attribute "label"
line 1 column 34031 - Warning: <li> proprietary attribute "label"
line 1 column 34280 - Warning: <li> proprietary attribute "label"
line 1 column 34582 - Warning: <li> proprietary attribute "label"
