line 1 column 19609 - Warning: inserting implicit <p>
line 1 column 45674 - Warning: inserting implicit <p>
line 1 column 50246 - Warning: inserting implicit <p>
line 1 column 77029 - Warning: nested emphasis <em>
line 1 column 77222 - Warning: nested emphasis <em>
line 1 column 77422 - Warning: nested emphasis <em>
line 1 column 77624 - Warning: nested emphasis <em>
line 1 column 77842 - Warning: nested emphasis <em>
line 1 column 78056 - Warning: nested emphasis <em>
line 1 column 78253 - Warning: nested emphasis <em>
line 1 column 78443 - Warning: nested emphasis <em>
line 1 column 78631 - Warning: nested emphasis <em>
line 1 column 78852 - Warning: nested emphasis <em>
line 1 column 79090 - Warning: nested emphasis <em>
line 1 column 79315 - Warning: nested emphasis <em>
line 1 column 79499 - Warning: nested emphasis <em>
line 1 column 79684 - Warning: nested emphasis <em>
line 1 column 80202 - Warning: nested emphasis <em>
line 1 column 81106 - Warning: nested emphasis <em>
line 1 column 81309 - Warning: nested emphasis <em>
line 1 column 81542 - Warning: nested emphasis <em>
line 1 column 81750 - Warning: nested emphasis <em>
line 1 column 81952 - Warning: nested emphasis <em>
line 1 column 82204 - Warning: nested emphasis <em>
line 1 column 82396 - Warning: nested emphasis <em>
line 1 column 82597 - Warning: nested emphasis <em>
line 1 column 82832 - Warning: nested emphasis <em>
line 1 column 9625 - Warning: <table> lacks "summary" attribute
line 1 column 12962 - Warning: <table> lacks "summary" attribute
line 1 column 19249 - Warning: <img> attribute "longdesc" lacks value
line 1 column 29788 - Warning: <table> lacks "summary" attribute
line 1 column 32629 - Warning: <table> lacks "summary" attribute
line 1 column 45087 - Warning: <img> attribute "longdesc" lacks value
line 1 column 45504 - Warning: <img> attribute "longdesc" lacks value
line 1 column 55859 - Warning: <table> lacks "summary" attribute
line 1 column 58387 - Warning: <table> lacks "summary" attribute
line 1 column 61755 - Warning: <table> lacks "summary" attribute
line 1 column 66789 - Warning: <table> lacks "summary" attribute
line 1 column 68052 - Warning: <table> lacks "summary" attribute
line 1 column 9779 - Warning: <tt> element removed from HTML5
line 1 column 9947 - Warning: <tt> element removed from HTML5
line 1 column 10018 - Warning: <tt> element removed from HTML5
line 1 column 10195 - Warning: <tt> element removed from HTML5
line 1 column 10269 - Warning: <tt> element removed from HTML5
line 1 column 10436 - Warning: <tt> element removed from HTML5
line 1 column 10511 - Warning: <tt> element removed from HTML5
line 1 column 10688 - Warning: <tt> element removed from HTML5
line 1 column 10766 - Warning: <tt> element removed from HTML5
line 1 column 10932 - Warning: <tt> element removed from HTML5
line 1 column 11010 - Warning: <tt> element removed from HTML5
line 1 column 11183 - Warning: <tt> element removed from HTML5
line 1 column 11273 - Warning: <tt> element removed from HTML5
line 1 column 11437 - Warning: <tt> element removed from HTML5
line 1 column 11523 - Warning: <tt> element removed from HTML5
line 1 column 11679 - Warning: <tt> element removed from HTML5
line 1 column 11750 - Warning: <tt> element removed from HTML5
line 1 column 12601 - Warning: <tt> element removed from HTML5
line 1 column 13343 - Warning: <tt> element removed from HTML5
line 1 column 16878 - Warning: <tt> element removed from HTML5
line 1 column 17032 - Warning: <tt> element removed from HTML5
line 1 column 17052 - Warning: <tt> element removed from HTML5
line 1 column 17212 - Warning: <tt> element removed from HTML5
line 1 column 17271 - Warning: <tt> element removed from HTML5
line 1 column 18883 - Warning: <tt> element removed from HTML5
line 1 column 18915 - Warning: <tt> element removed from HTML5
line 1 column 19001 - Warning: <tt> element removed from HTML5
line 1 column 19024 - Warning: <tt> element removed from HTML5
line 1 column 19045 - Warning: <tt> element removed from HTML5
line 1 column 19069 - Warning: <tt> element removed from HTML5
line 1 column 19840 - Warning: <tt> element removed from HTML5
line 1 column 19884 - Warning: <tt> element removed from HTML5
line 1 column 20047 - Warning: <tt> element removed from HTML5
line 1 column 20067 - Warning: <tt> element removed from HTML5
line 1 column 20373 - Warning: <tt> element removed from HTML5
line 1 column 20587 - Warning: <tt> element removed from HTML5
line 1 column 21647 - Warning: <tt> element removed from HTML5
line 1 column 21718 - Warning: <tt> element removed from HTML5
line 1 column 22336 - Warning: <tt> element removed from HTML5
line 1 column 22634 - Warning: <tt> element removed from HTML5
line 1 column 22941 - Warning: <tt> element removed from HTML5
line 1 column 23346 - Warning: <tt> element removed from HTML5
line 1 column 23374 - Warning: <tt> element removed from HTML5
line 1 column 23763 - Warning: <tt> element removed from HTML5
line 1 column 23831 - Warning: <tt> element removed from HTML5
line 1 column 24356 - Warning: <tt> element removed from HTML5
line 1 column 25166 - Warning: <tt> element removed from HTML5
line 1 column 26460 - Warning: <tt> element removed from HTML5
line 1 column 26528 - Warning: <tt> element removed from HTML5
line 1 column 26627 - Warning: <tt> element removed from HTML5
line 1 column 29924 - Warning: <tt> element removed from HTML5
line 1 column 30094 - Warning: <tt> element removed from HTML5
line 1 column 30255 - Warning: <tt> element removed from HTML5
line 1 column 30422 - Warning: <tt> element removed from HTML5
line 1 column 30609 - Warning: <tt> element removed from HTML5
line 1 column 31063 - Warning: <tt> element removed from HTML5
line 1 column 31080 - Warning: <tt> element removed from HTML5
line 1 column 31102 - Warning: <tt> element removed from HTML5
line 1 column 31126 - Warning: <tt> element removed from HTML5
line 1 column 31150 - Warning: <tt> element removed from HTML5
line 1 column 31922 - Warning: <tt> element removed from HTML5
line 1 column 31984 - Warning: <tt> element removed from HTML5
line 1 column 32114 - Warning: <tt> element removed from HTML5
line 1 column 33109 - Warning: <tt> element removed from HTML5
line 1 column 33447 - Warning: <tt> element removed from HTML5
line 1 column 33792 - Warning: <tt> element removed from HTML5
line 1 column 34132 - Warning: <tt> element removed from HTML5
line 1 column 34473 - Warning: <tt> element removed from HTML5
line 1 column 35793 - Warning: <tt> element removed from HTML5
line 1 column 35870 - Warning: <tt> element removed from HTML5
line 1 column 35887 - Warning: <tt> element removed from HTML5
