line 1 column 28428 - Warning: inserting implicit <p>
line 1 column 47814 - Warning: nested emphasis <em>
line 1 column 48250 - Warning: nested emphasis <em>
line 1 column 48562 - Warning: nested emphasis <em>
line 1 column 48893 - Warning: nested emphasis <em>
line 1 column 49215 - Warning: nested emphasis <em>
line 1 column 49570 - Warning: nested emphasis <em>
line 1 column 49830 - Warning: nested emphasis <em>
line 1 column 50094 - Warning: nested emphasis <em>
line 1 column 50447 - Warning: nested emphasis <em>
line 1 column 50783 - Warning: nested emphasis <em>
line 1 column 51418 - Warning: nested emphasis <em>
line 1 column 51651 - Warning: nested emphasis <em>
line 1 column 52013 - Warning: nested emphasis <em>
line 1 column 52355 - Warning: nested emphasis <em>
line 1 column 52776 - Warning: nested emphasis <em>
line 1 column 52994 - Warning: nested emphasis <em>
line 1 column 53255 - Warning: nested emphasis <em>
line 1 column 53495 - Warning: nested emphasis <em>
line 1 column 53979 - Warning: nested emphasis <em>
line 1 column 54258 - Warning: nested emphasis <em>
line 1 column 54665 - Warning: nested emphasis <em>
line 1 column 54887 - Warning: nested emphasis <em>
line 1 column 55241 - Warning: nested emphasis <em>
line 1 column 55509 - Warning: nested emphasis <em>
line 1 column 55833 - Warning: nested emphasis <em>
line 1 column 56126 - Warning: nested emphasis <em>
line 1 column 56394 - Warning: nested emphasis <em>
line 1 column 56651 - Warning: nested emphasis <em>
line 1 column 56951 - Warning: nested emphasis <em>
line 1 column 57229 - Warning: nested emphasis <em>
line 1 column 57449 - Warning: nested emphasis <em>
line 1 column 57600 - Warning: nested emphasis <em>
line 1 column 57934 - Warning: nested emphasis <em>
line 1 column 58159 - Warning: nested emphasis <em>
line 1 column 58437 - Warning: nested emphasis <em>
line 1 column 27666 - Warning: <img> attribute "longdesc" lacks value
line 1 column 31720 - Warning: <img> attribute "longdesc" lacks value
line 1 column 41804 - Warning: <table> lacks "summary" attribute
line 1 column 26353 - Warning: <tt> element removed from HTML5
line 1 column 1821 - Warning: <a> proprietary attribute "ref"
line 1 column 19337 - Warning: <li> proprietary attribute "label"
line 1 column 19598 - Warning: <li> proprietary attribute "label"
line 1 column 19928 - Warning: <li> proprietary attribute "label"
line 1 column 20078 - Warning: <li> proprietary attribute "label"
line 1 column 24533 - Warning: <li> proprietary attribute "label"
line 1 column 24775 - Warning: <li> proprietary attribute "label"
line 1 column 25296 - Warning: <li> proprietary attribute "label"
line 1 column 29374 - Warning: <li> proprietary attribute "label"
line 1 column 30034 - Warning: <li> proprietary attribute "label"
line 1 column 30377 - Warning: <li> proprietary attribute "label"
line 1 column 47621 - Warning: <li> proprietary attribute "label"
line 1 column 48043 - Warning: <li> proprietary attribute "label"
line 1 column 48317 - Warning: <li> proprietary attribute "label"
line 1 column 48732 - Warning: <li> proprietary attribute "label"
line 1 column 49037 - Warning: <li> proprietary attribute "label"
line 1 column 49365 - Warning: <li> proprietary attribute "label"
line 1 column 49714 - Warning: <li> proprietary attribute "label"
line 1 column 49940 - Warning: <li> proprietary attribute "label"
line 1 column 50252 - Warning: <li> proprietary attribute "label"
line 1 column 50563 - Warning: <li> proprietary attribute "label"
line 1 column 50859 - Warning: <li> proprietary attribute "label"
line 1 column 51325 - Warning: <li> proprietary attribute "label"
line 1 column 51503 - Warning: <li> proprietary attribute "label"
line 1 column 51849 - Warning: <li> proprietary attribute "label"
line 1 column 52174 - Warning: <li> proprietary attribute "label"
line 1 column 52448 - Warning: <li> proprietary attribute "label"
line 1 column 52820 - Warning: <li> proprietary attribute "label"
line 1 column 53142 - Warning: <li> proprietary attribute "label"
line 1 column 53342 - Warning: <li> proprietary attribute "label"
line 1 column 53607 - Warning: <li> proprietary attribute "label"
line 1 column 53821 - Warning: <li> proprietary attribute "label"
line 1 column 54053 - Warning: <li> proprietary attribute "label"
line 1 column 54442 - Warning: <li> proprietary attribute "label"
line 1 column 54734 - Warning: <li> proprietary attribute "label"
line 1 column 55039 - Warning: <li> proprietary attribute "label"
line 1 column 55391 - Warning: <li> proprietary attribute "label"
line 1 column 55586 - Warning: <li> proprietary attribute "label"
line 1 column 55989 - Warning: <li> proprietary attribute "label"
line 1 column 56233 - Warning: <li> proprietary attribute "label"
line 1 column 56485 - Warning: <li> proprietary attribute "label"
line 1 column 56749 - Warning: <li> proprietary attribute "label"
line 1 column 57127 - Warning: <li> proprietary attribute "label"
line 1 column 57303 - Warning: <li> proprietary attribute "label"
line 1 column 57527 - Warning: <li> proprietary attribute "label"
line 1 column 57773 - Warning: <li> proprietary attribute "label"
line 1 column 58010 - Warning: <li> proprietary attribute "label"
line 1 column 58257 - Warning: <li> proprietary attribute "label"
