line 1 column 45587 - Warning: nested emphasis <em>
line 1 column 45842 - Warning: nested emphasis <em>
line 1 column 46069 - Warning: nested emphasis <em>
line 1 column 46407 - Warning: nested emphasis <em>
line 1 column 46667 - Warning: nested emphasis <em>
line 1 column 46952 - Warning: nested emphasis <em>
line 1 column 47210 - Warning: nested emphasis <em>
line 1 column 47473 - Warning: nested emphasis <em>
line 1 column 47705 - Warning: nested emphasis <em>
line 1 column 48001 - Warning: nested emphasis <em>
line 1 column 48253 - Warning: nested emphasis <em>
line 1 column 48833 - Warning: nested emphasis <em>
line 1 column 49101 - Warning: nested emphasis <em>
line 1 column 49563 - Warning: nested emphasis <em>
line 1 column 49901 - Warning: nested emphasis <em>
line 1 column 50140 - Warning: nested emphasis <em>
line 1 column 50432 - Warning: nested emphasis <em>
line 1 column 51090 - Warning: nested emphasis <em>
line 1 column 51345 - Warning: nested emphasis <em>
line 1 column 51523 - Warning: nested emphasis <em>
line 1 column 51949 - Warning: nested emphasis <em>
line 1 column 52157 - Warning: nested emphasis <em>
line 1 column 52706 - Warning: nested emphasis <em>
line 1 column 53254 - Warning: nested emphasis <em>
line 1 column 53479 - Warning: nested emphasis <em>
line 1 column 53722 - Warning: nested emphasis <em>
line 1 column 53968 - Warning: nested emphasis <em>
line 1 column 54253 - Warning: nested emphasis <em>
line 1 column 23368 - Warning: <table> lacks "summary" attribute
line 1 column 36123 - Warning: <table> lacks "summary" attribute
line 1 column 19217 - Warning: <li> proprietary attribute "label"
line 1 column 19712 - Warning: <li> proprietary attribute "label"
line 1 column 20024 - Warning: <li> proprietary attribute "label"
line 1 column 20304 - Warning: <li> proprietary attribute "label"
line 1 column 20652 - Warning: <li> proprietary attribute "label"
line 1 column 20948 - Warning: <li> proprietary attribute "label"
line 1 column 21060 - Warning: <li> proprietary attribute "label"
line 1 column 26145 - Warning: <li> proprietary attribute "label"
line 1 column 26376 - Warning: <li> proprietary attribute "label"
line 1 column 26634 - Warning: <li> proprietary attribute "label"
line 1 column 27764 - Warning: <li> proprietary attribute "label"
line 1 column 27877 - Warning: <li> proprietary attribute "label"
line 1 column 28217 - Warning: <li> proprietary attribute "label"
line 1 column 28571 - Warning: <li> proprietary attribute "label"
line 1 column 30269 - Warning: <li> proprietary attribute "label"
line 1 column 30964 - Warning: <li> proprietary attribute "label"
line 1 column 32369 - Warning: <li> proprietary attribute "label"
line 1 column 32510 - Warning: <li> proprietary attribute "label"
line 1 column 32901 - Warning: <li> proprietary attribute "label"
line 1 column 33350 - Warning: <li> proprietary attribute "label"
line 1 column 33782 - Warning: <li> proprietary attribute "label"
line 1 column 33983 - Warning: <li> proprietary attribute "label"
line 1 column 34383 - Warning: <li> proprietary attribute "label"
line 1 column 34598 - Warning: <li> proprietary attribute "label"
line 1 column 37369 - Warning: <li> proprietary attribute "label"
line 1 column 37454 - Warning: <li> proprietary attribute "label"
line 1 column 37545 - Warning: <li> proprietary attribute "label"
line 1 column 38026 - Warning: <li> proprietary attribute "label"
line 1 column 38117 - Warning: <li> proprietary attribute "label"
line 1 column 38244 - Warning: <li> proprietary attribute "label"
line 1 column 38327 - Warning: <li> proprietary attribute "label"
line 1 column 38422 - Warning: <li> proprietary attribute "label"
line 1 column 39067 - Warning: <li> proprietary attribute "label"
line 1 column 39157 - Warning: <li> proprietary attribute "label"
line 1 column 39294 - Warning: <li> proprietary attribute "label"
line 1 column 39377 - Warning: <li> proprietary attribute "label"
line 1 column 39475 - Warning: <li> proprietary attribute "label"
line 1 column 40302 - Warning: <li> proprietary attribute "label"
line 1 column 40388 - Warning: <li> proprietary attribute "label"
line 1 column 40505 - Warning: <li> proprietary attribute "label"
line 1 column 40588 - Warning: <li> proprietary attribute "label"
line 1 column 40698 - Warning: <li> proprietary attribute "label"
line 1 column 41686 - Warning: <li> proprietary attribute "label"
line 1 column 41807 - Warning: <li> proprietary attribute "label"
line 1 column 41934 - Warning: <li> proprietary attribute "label"
line 1 column 42017 - Warning: <li> proprietary attribute "label"
line 1 column 42155 - Warning: <li> proprietary attribute "label"
line 1 column 42577 - Warning: <li> proprietary attribute "label"
line 1 column 42679 - Warning: <li> proprietary attribute "label"
line 1 column 42804 - Warning: <li> proprietary attribute "label"
line 1 column 42887 - Warning: <li> proprietary attribute "label"
line 1 column 43001 - Warning: <li> proprietary attribute "label"
line 1 column 45486 - Warning: <li> proprietary attribute "label"
line 1 column 45692 - Warning: <li> proprietary attribute "label"
line 1 column 45911 - Warning: <li> proprietary attribute "label"
line 1 column 46216 - Warning: <li> proprietary attribute "label"
line 1 column 46517 - Warning: <li> proprietary attribute "label"
line 1 column 46751 - Warning: <li> proprietary attribute "label"
line 1 column 47057 - Warning: <li> proprietary attribute "label"
line 1 column 47289 - Warning: <li> proprietary attribute "label"
line 1 column 47565 - Warning: <li> proprietary attribute "label"
line 1 column 47773 - Warning: <li> proprietary attribute "label"
line 1 column 48091 - Warning: <li> proprietary attribute "label"
line 1 column 48669 - Warning: <li> proprietary attribute "label"
line 1 column 48899 - Warning: <li> proprietary attribute "label"
line 1 column 49289 - Warning: <li> proprietary attribute "label"
line 1 column 49702 - Warning: <li> proprietary attribute "label"
line 1 column 49970 - Warning: <li> proprietary attribute "label"
line 1 column 50217 - Warning: <li> proprietary attribute "label"
line 1 column 50562 - Warning: <li> proprietary attribute "label"
line 1 column 50784 - Warning: <li> proprietary attribute "label"
line 1 column 51229 - Warning: <li> proprietary attribute "label"
line 1 column 51403 - Warning: <li> proprietary attribute "label"
line 1 column 51613 - Warning: <li> proprietary attribute "label"
line 1 column 51749 - Warning: <li> proprietary attribute "label"
line 1 column 51998 - Warning: <li> proprietary attribute "label"
line 1 column 52519 - Warning: <li> proprietary attribute "label"
line 1 column 53087 - Warning: <li> proprietary attribute "label"
line 1 column 53316 - Warning: <li> proprietary attribute "label"
line 1 column 53540 - Warning: <li> proprietary attribute "label"
line 1 column 53799 - Warning: <li> proprietary attribute "label"
line 1 column 54047 - Warning: <li> proprietary attribute "label"
