line 1 column 16723 - Warning: inserting implicit <p>
line 1 column 29145 - Warning: nested emphasis <em>
line 1 column 29434 - Warning: nested emphasis <em>
line 1 column 29696 - Warning: nested emphasis <em>
line 1 column 29977 - Warning: nested emphasis <em>
line 1 column 30212 - Warning: nested emphasis <em>
line 1 column 30802 - Warning: nested emphasis <em>
line 1 column 31092 - Warning: nested emphasis <em>
line 1 column 31316 - Warning: nested emphasis <em>
line 1 column 31525 - Warning: nested emphasis <em>
line 1 column 31779 - Warning: nested emphasis <em>
line 1 column 31998 - Warning: nested emphasis <em>
line 1 column 32294 - Warning: nested emphasis <em>
line 1 column 32611 - Warning: nested emphasis <em>
line 1 column 32983 - Warning: nested emphasis <em>
line 1 column 33325 - Warning: nested emphasis <em>
line 1 column 33608 - Warning: nested emphasis <em>
line 1 column 33852 - Warning: nested emphasis <em>
line 1 column 34151 - Warning: nested emphasis <em>
line 1 column 34538 - Warning: nested emphasis <em>
line 1 column 34838 - Warning: nested emphasis <em>
line 1 column 35191 - Warning: nested emphasis <em>
line 1 column 35408 - Warning: nested emphasis <em>
line 1 column 16361 - Warning: <img> attribute "longdesc" lacks value
line 1 column 24872 - Warning: <table> lacks "summary" attribute
line 1 column 25462 - Warning: <img> attribute "longdesc" lacks value
line 1 column 20019 - Warning: <li> proprietary attribute "label"
line 1 column 20241 - Warning: <li> proprietary attribute "label"
line 1 column 22452 - Warning: <li> proprietary attribute "label"
line 1 column 22669 - Warning: <li> proprietary attribute "label"
line 1 column 22896 - Warning: <li> proprietary attribute "label"
line 1 column 29011 - Warning: <li> proprietary attribute "label"
line 1 column 29247 - Warning: <li> proprietary attribute "label"
line 1 column 29543 - Warning: <li> proprietary attribute "label"
line 1 column 29776 - Warning: <li> proprietary attribute "label"
line 1 column 30081 - Warning: <li> proprietary attribute "label"
line 1 column 30572 - Warning: <li> proprietary attribute "label"
line 1 column 30843 - Warning: <li> proprietary attribute "label"
line 1 column 31168 - Warning: <li> proprietary attribute "label"
line 1 column 31369 - Warning: <li> proprietary attribute "label"
line 1 column 31605 - Warning: <li> proprietary attribute "label"
line 1 column 31870 - Warning: <li> proprietary attribute "label"
line 1 column 32093 - Warning: <li> proprietary attribute "label"
line 1 column 32400 - Warning: <li> proprietary attribute "label"
line 1 column 32824 - Warning: <li> proprietary attribute "label"
line 1 column 33119 - Warning: <li> proprietary attribute "label"
line 1 column 33401 - Warning: <li> proprietary attribute "label"
line 1 column 33682 - Warning: <li> proprietary attribute "label"
line 1 column 33928 - Warning: <li> proprietary attribute "label"
line 1 column 34388 - Warning: <li> proprietary attribute "label"
line 1 column 34683 - Warning: <li> proprietary attribute "label"
line 1 column 35059 - Warning: <li> proprietary attribute "label"
line 1 column 35267 - Warning: <li> proprietary attribute "label"
