line 1 column 24057 - Warning: inserting implicit <p>
line 1 column 24772 - Warning: inserting implicit <p>
line 1 column 26713 - Warning: inserting implicit <p>
line 1 column 40061 - Warning: inserting implicit <p>
line 1 column 52080 - Warning: nested emphasis <em>
line 1 column 52302 - Warning: nested emphasis <em>
line 1 column 52630 - Warning: nested emphasis <em>
line 1 column 53074 - Warning: nested emphasis <em>
line 1 column 53369 - Warning: nested emphasis <em>
line 1 column 53687 - Warning: nested emphasis <em>
line 1 column 54443 - Warning: nested emphasis <em>
line 1 column 54822 - Warning: nested emphasis <em>
line 1 column 55201 - Warning: nested emphasis <em>
line 1 column 55660 - Warning: nested emphasis <em>
line 1 column 56057 - Warning: nested emphasis <em>
line 1 column 56888 - Warning: nested emphasis <em>
line 1 column 57167 - Warning: nested emphasis <em>
line 1 column 57545 - Warning: nested emphasis <em>
line 1 column 57838 - Warning: nested emphasis <em>
line 1 column 58050 - Warning: nested emphasis <em>
line 1 column 58242 - Warning: nested emphasis <em>
line 1 column 58564 - Warning: nested emphasis <em>
line 1 column 58808 - Warning: nested emphasis <em>
line 1 column 59078 - Warning: nested emphasis <em>
line 1 column 59425 - Warning: nested emphasis <em>
line 1 column 59701 - Warning: nested emphasis <em>
line 1 column 60009 - Warning: nested emphasis <em>
line 1 column 60295 - Warning: nested emphasis <em>
line 1 column 60643 - Warning: nested emphasis <em>
line 1 column 61080 - Warning: nested emphasis <em>
line 1 column 61405 - Warning: nested emphasis <em>
line 1 column 61636 - Warning: nested emphasis <em>
line 1 column 61983 - Warning: nested emphasis <em>
line 1 column 62329 - Warning: nested emphasis <em>
line 1 column 62620 - Warning: nested emphasis <em>
line 1 column 62957 - Warning: nested emphasis <em>
line 1 column 63609 - Warning: nested emphasis <em>
line 1 column 63832 - Warning: nested emphasis <em>
line 1 column 64127 - Warning: nested emphasis <em>
line 1 column 23251 - Warning: <img> attribute "longdesc" lacks value
line 1 column 23667 - Warning: <img> attribute "longdesc" lacks value
line 1 column 24396 - Warning: <img> attribute "longdesc" lacks value
line 1 column 26237 - Warning: <img> attribute "longdesc" lacks value
line 1 column 38604 - Warning: <img> attribute "longdesc" lacks value
line 1 column 38796 - Warning: <img> attribute "longdesc" lacks value
line 1 column 38988 - Warning: <img> attribute "longdesc" lacks value
line 1 column 39180 - Warning: <img> attribute "longdesc" lacks value
line 1 column 39583 - Warning: <img> attribute "longdesc" lacks value
line 1 column 42368 - Warning: <table> lacks "summary" attribute
line 1 column 21167 - Warning: <li> proprietary attribute "label"
line 1 column 21345 - Warning: <li> proprietary attribute "label"
line 1 column 21548 - Warning: <li> proprietary attribute "label"
line 1 column 31835 - Warning: <li> proprietary attribute "label"
line 1 column 33089 - Warning: <li> proprietary attribute "label"
line 1 column 50799 - Warning: <li> proprietary attribute "label"
line 1 column 51007 - Warning: <li> proprietary attribute "label"
line 1 column 51169 - Warning: <li> proprietary attribute "label"
line 1 column 51944 - Warning: <li> proprietary attribute "label"
line 1 column 52173 - Warning: <li> proprietary attribute "label"
line 1 column 52447 - Warning: <li> proprietary attribute "label"
line 1 column 52730 - Warning: <li> proprietary attribute "label"
line 1 column 52897 - Warning: <li> proprietary attribute "label"
line 1 column 53190 - Warning: <li> proprietary attribute "label"
line 1 column 53500 - Warning: <li> proprietary attribute "label"
line 1 column 53847 - Warning: <li> proprietary attribute "label"
line 1 column 54208 - Warning: <li> proprietary attribute "label"
line 1 column 54635 - Warning: <li> proprietary attribute "label"
line 1 column 55014 - Warning: <li> proprietary attribute "label"
line 1 column 55361 - Warning: <li> proprietary attribute "label"
line 1 column 55734 - Warning: <li> proprietary attribute "label"
line 1 column 55905 - Warning: <li> proprietary attribute "label"
line 1 column 56134 - Warning: <li> proprietary attribute "label"
line 1 column 56609 - Warning: <li> proprietary attribute "label"
line 1 column 57012 - Warning: <li> proprietary attribute "label"
line 1 column 57374 - Warning: <li> proprietary attribute "label"
line 1 column 57684 - Warning: <li> proprietary attribute "label"
line 1 column 57935 - Warning: <li> proprietary attribute "label"
line 1 column 58107 - Warning: <li> proprietary attribute "label"
line 1 column 58334 - Warning: <li> proprietary attribute "label"
line 1 column 58624 - Warning: <li> proprietary attribute "label"
line 1 column 58852 - Warning: <li> proprietary attribute "label"
line 1 column 59217 - Warning: <li> proprietary attribute "label"
line 1 column 59486 - Warning: <li> proprietary attribute "label"
line 1 column 59816 - Warning: <li> proprietary attribute "label"
line 1 column 60145 - Warning: <li> proprietary attribute "label"
line 1 column 60398 - Warning: <li> proprietary attribute "label"
line 1 column 60762 - Warning: <li> proprietary attribute "label"
line 1 column 61240 - Warning: <li> proprietary attribute "label"
line 1 column 61497 - Warning: <li> proprietary attribute "label"
line 1 column 61794 - Warning: <li> proprietary attribute "label"
line 1 column 62094 - Warning: <li> proprietary attribute "label"
line 1 column 62402 - Warning: <li> proprietary attribute "label"
line 1 column 62776 - Warning: <li> proprietary attribute "label"
line 1 column 63033 - Warning: <li> proprietary attribute "label"
line 1 column 63473 - Warning: <li> proprietary attribute "label"
line 1 column 63669 - Warning: <li> proprietary attribute "label"
line 1 column 63954 - Warning: <li> proprietary attribute "label"
