line 1 column 28367 - Warning: inserting implicit <p>
line 1 column 41601 - Warning: inserting implicit <p>
line 1 column 44328 - Warning: nested emphasis <em>
line 1 column 44850 - Warning: nested emphasis <em>
line 1 column 45065 - Warning: nested emphasis <em>
line 1 column 45242 - Warning: nested emphasis <em>
line 1 column 45566 - Warning: nested emphasis <em>
line 1 column 45855 - Warning: nested emphasis <em>
line 1 column 46148 - Warning: nested emphasis <em>
line 1 column 46388 - Warning: nested emphasis <em>
line 1 column 46875 - Warning: nested emphasis <em>
line 1 column 47156 - Warning: nested emphasis <em>
line 1 column 47323 - Warning: nested emphasis <em>
line 1 column 47727 - Warning: nested emphasis <em>
line 1 column 47949 - Warning: nested emphasis <em>
line 1 column 48136 - Warning: nested emphasis <em>
line 1 column 48358 - Warning: nested emphasis <em>
line 1 column 48542 - Warning: nested emphasis <em>
line 1 column 48720 - Warning: nested emphasis <em>
line 1 column 48918 - Warning: nested emphasis <em>
line 1 column 49163 - Warning: nested emphasis <em>
line 1 column 49340 - Warning: nested emphasis <em>
line 1 column 49545 - Warning: nested emphasis <em>
line 1 column 2725 - Warning: <a> escaping malformed URI reference
line 1 column 2725 - Warning: <a> illegal characters found in URI
line 1 column 27929 - Warning: <img> attribute "longdesc" lacks value
line 1 column 28908 - Warning: <table> lacks "summary" attribute
line 1 column 41117 - Warning: <img> attribute "longdesc" lacks value
line 1 column 44232 - Warning: <li> proprietary attribute "label"
line 1 column 44454 - Warning: <li> proprietary attribute "label"
line 1 column 44567 - Warning: <li> proprietary attribute "label"
line 1 column 44721 - Warning: <li> proprietary attribute "label"
line 1 column 44914 - Warning: <li> proprietary attribute "label"
line 1 column 45109 - Warning: <li> proprietary attribute "label"
line 1 column 45449 - Warning: <li> proprietary attribute "label"
line 1 column 45634 - Warning: <li> proprietary attribute "label"
line 1 column 45939 - Warning: <li> proprietary attribute "label"
line 1 column 46036 - Warning: <li> proprietary attribute "label"
line 1 column 46245 - Warning: <li> proprietary attribute "label"
line 1 column 46452 - Warning: <li> proprietary attribute "label"
line 1 column 46674 - Warning: <li> proprietary attribute "label"
line 1 column 46983 - Warning: <li> proprietary attribute "label"
line 1 column 47218 - Warning: <li> proprietary attribute "label"
line 1 column 47420 - Warning: <li> proprietary attribute "label"
line 1 column 47582 - Warning: <li> proprietary attribute "label"
line 1 column 47784 - Warning: <li> proprietary attribute "label"
line 1 column 48013 - Warning: <li> proprietary attribute "label"
line 1 column 48211 - Warning: <li> proprietary attribute "label"
line 1 column 48421 - Warning: <li> proprietary attribute "label"
line 1 column 48612 - Warning: <li> proprietary attribute "label"
line 1 column 48783 - Warning: <li> proprietary attribute "label"
line 1 column 48982 - Warning: <li> proprietary attribute "label"
line 1 column 49227 - Warning: <li> proprietary attribute "label"
line 1 column 49429 - Warning: <li> proprietary attribute "label"
