line 1 column 21016 - Warning: inserting implicit <p>
line 1 column 27109 - Warning: inserting implicit <p>
line 1 column 40880 - Warning: nested emphasis <em>
line 1 column 41149 - Warning: nested emphasis <em>
line 1 column 41386 - Warning: nested emphasis <em>
line 1 column 41678 - Warning: nested emphasis <em>
line 1 column 41945 - Warning: nested emphasis <em>
line 1 column 42204 - Warning: nested emphasis <em>
line 1 column 43093 - Warning: nested emphasis <em>
line 1 column 43362 - Warning: nested emphasis <em>
line 1 column 43637 - Warning: nested emphasis <em>
line 1 column 44005 - Warning: nested emphasis <em>
line 1 column 44263 - Warning: nested emphasis <em>
line 1 column 44514 - Warning: nested emphasis <em>
line 1 column 44855 - Warning: nested emphasis <em>
line 1 column 45113 - Warning: nested emphasis <em>
line 1 column 45930 - Warning: nested emphasis <em>
line 1 column 46447 - Warning: nested emphasis <em>
line 1 column 46696 - Warning: nested emphasis <em>
line 1 column 47017 - Warning: nested emphasis <em>
line 1 column 47281 - Warning: nested emphasis <em>
line 1 column 47501 - Warning: nested emphasis <em>
line 1 column 48097 - Warning: nested emphasis <em>
line 1 column 14889 - Warning: <table> lacks "summary" attribute
line 1 column 21307 - Warning: <img> attribute "longdesc" lacks value
line 1 column 28757 - Warning: <table> lacks "summary" attribute
line 1 column 37497 - Warning: <table> lacks "summary" attribute
line 1 column 45284 - Warning: <a> escaping malformed URI reference
line 1 column 45284 - Warning: <a> illegal characters found in URI
line 1 column 10167 - Warning: <li> proprietary attribute "label"
line 1 column 10366 - Warning: <li> proprietary attribute "label"
line 1 column 22349 - Warning: <li> proprietary attribute "label"
line 1 column 22424 - Warning: <li> proprietary attribute "label"
line 1 column 23232 - Warning: <li> proprietary attribute "label"
line 1 column 23392 - Warning: <li> proprietary attribute "label"
line 1 column 23546 - Warning: <li> proprietary attribute "label"
line 1 column 23788 - Warning: <li> proprietary attribute "label"
line 1 column 40397 - Warning: <li> proprietary attribute "label"
line 1 column 40697 - Warning: <li> proprietary attribute "label"
line 1 column 40957 - Warning: <li> proprietary attribute "label"
line 1 column 41223 - Warning: <li> proprietary attribute "label"
line 1 column 41471 - Warning: <li> proprietary attribute "label"
line 1 column 41755 - Warning: <li> proprietary attribute "label"
line 1 column 42018 - Warning: <li> proprietary attribute "label"
line 1 column 42280 - Warning: <li> proprietary attribute "label"
line 1 column 42616 - Warning: <li> proprietary attribute "label"
line 1 column 42850 - Warning: <li> proprietary attribute "label"
line 1 column 43170 - Warning: <li> proprietary attribute "label"
line 1 column 43500 - Warning: <li> proprietary attribute "label"
line 1 column 43823 - Warning: <li> proprietary attribute "label"
line 1 column 44088 - Warning: <li> proprietary attribute "label"
line 1 column 44326 - Warning: <li> proprietary attribute "label"
line 1 column 44621 - Warning: <li> proprietary attribute "label"
line 1 column 44929 - Warning: <li> proprietary attribute "label"
line 1 column 45173 - Warning: <li> proprietary attribute "label"
line 1 column 45513 - Warning: <li> proprietary attribute "label"
line 1 column 45709 - Warning: <li> proprietary attribute "label"
line 1 column 46007 - Warning: <li> proprietary attribute "label"
line 1 column 46245 - Warning: <li> proprietary attribute "label"
line 1 column 46524 - Warning: <li> proprietary attribute "label"
line 1 column 46773 - Warning: <li> proprietary attribute "label"
line 1 column 47127 - Warning: <li> proprietary attribute "label"
line 1 column 47344 - Warning: <li> proprietary attribute "label"
line 1 column 47577 - Warning: <li> proprietary attribute "label"
line 1 column 47831 - Warning: <li> proprietary attribute "label"
