line 1 column 27760 - Warning: inserting implicit <p>
line 1 column 28408 - Warning: inserting implicit <p>
line 1 column 38640 - Warning: inserting implicit <p>
line 1 column 56859 - Warning: nested emphasis <em>
line 1 column 57137 - Warning: nested emphasis <em>
line 1 column 57299 - Warning: nested emphasis <em>
line 1 column 57508 - Warning: nested emphasis <em>
line 1 column 57673 - Warning: nested emphasis <em>
line 1 column 57925 - Warning: nested emphasis <em>
line 1 column 58052 - Warning: nested emphasis <em>
line 1 column 58360 - Warning: nested emphasis <em>
line 1 column 58548 - Warning: nested emphasis <em>
line 1 column 58811 - Warning: nested emphasis <em>
line 1 column 59044 - Warning: nested emphasis <em>
line 1 column 59369 - Warning: nested emphasis <em>
line 1 column 59557 - Warning: nested emphasis <em>
line 1 column 59804 - Warning: nested emphasis <em>
line 1 column 60025 - Warning: nested emphasis <em>
line 1 column 60283 - Warning: nested emphasis <em>
line 1 column 14151 - Warning: <table> lacks "summary" attribute
line 1 column 16553 - Warning: <table> lacks "summary" attribute
line 1 column 28730 - Warning: <table> lacks "summary" attribute
line 1 column 31922 - Warning: <table> lacks "summary" attribute
line 1 column 38242 - Warning: <img> attribute "longdesc" lacks value
line 1 column 38858 - Warning: <table> lacks "summary" attribute
line 1 column 46731 - Warning: <table> lacks "summary" attribute
line 1 column 13646 - Warning: <li> proprietary attribute "label"
line 1 column 13721 - Warning: <li> proprietary attribute "label"
line 1 column 13830 - Warning: <li> proprietary attribute "label"
line 1 column 56766 - Warning: <li> proprietary attribute "label"
line 1 column 56970 - Warning: <li> proprietary attribute "label"
line 1 column 57196 - Warning: <li> proprietary attribute "label"
line 1 column 57361 - Warning: <li> proprietary attribute "label"
line 1 column 57553 - Warning: <li> proprietary attribute "label"
line 1 column 57788 - Warning: <li> proprietary attribute "label"
line 1 column 57997 - Warning: <li> proprietary attribute "label"
line 1 column 58207 - Warning: <li> proprietary attribute "label"
line 1 column 58462 - Warning: <li> proprietary attribute "label"
line 1 column 58700 - Warning: <li> proprietary attribute "label"
line 1 column 58896 - Warning: <li> proprietary attribute "label"
line 1 column 59184 - Warning: <li> proprietary attribute "label"
line 1 column 59469 - Warning: <li> proprietary attribute "label"
line 1 column 59654 - Warning: <li> proprietary attribute "label"
line 1 column 59894 - Warning: <li> proprietary attribute "label"
line 1 column 60102 - Warning: <li> proprietary attribute "label"
