line 1 column 23355 - Warning: inserting implicit <p>
line 1 column 35423 - Warning: nested emphasis <em>
line 1 column 35842 - Warning: nested emphasis <em>
line 1 column 36186 - Warning: nested emphasis <em>
line 1 column 36537 - Warning: nested emphasis <em>
line 1 column 36929 - Warning: nested emphasis <em>
line 1 column 37385 - Warning: nested emphasis <em>
line 1 column 37779 - Warning: nested emphasis <em>
line 1 column 38224 - Warning: nested emphasis <em>
line 1 column 38627 - Warning: nested emphasis <em>
line 1 column 39097 - Warning: nested emphasis <em>
line 1 column 39635 - Warning: nested emphasis <em>
line 1 column 40053 - Warning: nested emphasis <em>
line 1 column 40383 - Warning: nested emphasis <em>
line 1 column 40826 - Warning: nested emphasis <em>
line 1 column 41104 - Warning: nested emphasis <em>
line 1 column 41351 - Warning: nested emphasis <em>
line 1 column 41698 - Warning: nested emphasis <em>
line 1 column 42023 - Warning: nested emphasis <em>
line 1 column 42331 - Warning: nested emphasis <em>
line 1 column 22057 - Warning: <img> attribute "longdesc" lacks value
line 1 column 27014 - Warning: <table> lacks "summary" attribute
line 1 column 18993 - Warning: <font> element removed from HTML5
line 1 column 35222 - Warning: <li> proprietary attribute "label"
line 1 column 35699 - Warning: <li> proprietary attribute "label"
line 1 column 36104 - Warning: <li> proprietary attribute "label"
line 1 column 36405 - Warning: <li> proprietary attribute "label"
line 1 column 36761 - Warning: <li> proprietary attribute "label"
line 1 column 37206 - Warning: <li> proprietary attribute "label"
line 1 column 37646 - Warning: <li> proprietary attribute "label"
line 1 column 38060 - Warning: <li> proprietary attribute "label"
line 1 column 38476 - Warning: <li> proprietary attribute "label"
line 1 column 38924 - Warning: <li> proprietary attribute "label"
line 1 column 39394 - Warning: <li> proprietary attribute "label"
line 1 column 39952 - Warning: <li> proprietary attribute "label"
line 1 column 40298 - Warning: <li> proprietary attribute "label"
line 1 column 40680 - Warning: <li> proprietary attribute "label"
line 1 column 40936 - Warning: <li> proprietary attribute "label"
line 1 column 41184 - Warning: <li> proprietary attribute "label"
line 1 column 41489 - Warning: <li> proprietary attribute "label"
line 1 column 41804 - Warning: <li> proprietary attribute "label"
line 1 column 42174 - Warning: <li> proprietary attribute "label"
