line 1 column 42282 - Warning: nested emphasis <em>
line 1 column 42606 - Warning: nested emphasis <em>
line 1 column 42891 - Warning: nested emphasis <em>
line 1 column 43121 - Warning: nested emphasis <em>
line 1 column 43422 - Warning: nested emphasis <em>
line 1 column 43655 - Warning: nested emphasis <em>
line 1 column 43931 - Warning: nested emphasis <em>
line 1 column 44167 - Warning: nested emphasis <em>
line 1 column 44370 - Warning: nested emphasis <em>
line 1 column 44559 - Warning: nested emphasis <em>
line 1 column 44806 - Warning: nested emphasis <em>
line 1 column 45012 - Warning: nested emphasis <em>
line 1 column 42060 - Warning: <li> proprietary attribute "label"
line 1 column 42412 - Warning: <li> proprietary attribute "label"
line 1 column 42667 - Warning: <li> proprietary attribute "label"
line 1 column 42960 - Warning: <li> proprietary attribute "label"
line 1 column 43198 - Warning: <li> proprietary attribute "label"
line 1 column 43485 - Warning: <li> proprietary attribute "label"
line 1 column 43717 - Warning: <li> proprietary attribute "label"
line 1 column 43975 - Warning: <li> proprietary attribute "label"
line 1 column 44209 - Warning: <li> proprietary attribute "label"
line 1 column 44413 - Warning: <li> proprietary attribute "label"
line 1 column 44647 - Warning: <li> proprietary attribute "label"
line 1 column 44867 - Warning: <li> proprietary attribute "label"
