line 1 column 22829 - Warning: inserting implicit <p>
line 1 column 30963 - Warning: inserting implicit <p>
line 1 column 43412 - Warning: inserting implicit <p>
line 1 column 58924 - Warning: nested emphasis <em>
line 1 column 59095 - Warning: nested emphasis <em>
line 1 column 59321 - Warning: nested emphasis <em>
line 1 column 59678 - Warning: nested emphasis <em>
line 1 column 60075 - Warning: nested emphasis <em>
line 1 column 60355 - Warning: nested emphasis <em>
line 1 column 60584 - Warning: nested emphasis <em>
line 1 column 60974 - Warning: nested emphasis <em>
line 1 column 61229 - Warning: nested emphasis <em>
line 1 column 61448 - Warning: nested emphasis <em>
line 1 column 61627 - Warning: nested emphasis <em>
line 1 column 61920 - Warning: nested emphasis <em>
line 1 column 62187 - Warning: nested emphasis <em>
line 1 column 62439 - Warning: nested emphasis <em>
line 1 column 62613 - Warning: nested emphasis <em>
line 1 column 62965 - Warning: nested emphasis <em>
line 1 column 63220 - Warning: nested emphasis <em>
line 1 column 63538 - Warning: nested emphasis <em>
line 1 column 63814 - Warning: nested emphasis <em>
line 1 column 64113 - Warning: nested emphasis <em>
line 1 column 64498 - Warning: nested emphasis <em>
line 1 column 64764 - Warning: nested emphasis <em>
line 1 column 65073 - Warning: nested emphasis <em>
line 1 column 65291 - Warning: nested emphasis <em>
line 1 column 65528 - Warning: nested emphasis <em>
line 1 column 65794 - Warning: nested emphasis <em>
line 1 column 66043 - Warning: nested emphasis <em>
line 1 column 66308 - Warning: nested emphasis <em>
line 1 column 66542 - Warning: nested emphasis <em>
line 1 column 66898 - Warning: nested emphasis <em>
line 1 column 67237 - Warning: nested emphasis <em>
line 1 column 67569 - Warning: nested emphasis <em>
line 1 column 67827 - Warning: nested emphasis <em>
line 1 column 68311 - Warning: nested emphasis <em>
line 1 column 68645 - Warning: nested emphasis <em>
line 1 column 68934 - Warning: nested emphasis <em>
line 1 column 69235 - Warning: nested emphasis <em>
line 1 column 69554 - Warning: nested emphasis <em>
line 1 column 69940 - Warning: nested emphasis <em>
line 1 column 22427 - Warning: <img> attribute "longdesc" lacks value
line 1 column 30607 - Warning: <img> attribute "longdesc" lacks value
line 1 column 42554 - Warning: <img> attribute "longdesc" lacks value
line 1 column 43011 - Warning: <img> attribute "longdesc" lacks value
line 1 column 48116 - Warning: <table> lacks "summary" attribute
line 1 column 32660 - Warning: <li> proprietary attribute "label"
line 1 column 32806 - Warning: <li> proprietary attribute "label"
line 1 column 32969 - Warning: <li> proprietary attribute "label"
line 1 column 33327 - Warning: <li> proprietary attribute "label"
line 1 column 34918 - Warning: <li> proprietary attribute "label"
line 1 column 58733 - Warning: <li> proprietary attribute "label"
line 1 column 59049 - Warning: <li> proprietary attribute "label"
line 1 column 59229 - Warning: <li> proprietary attribute "label"
line 1 column 59550 - Warning: <li> proprietary attribute "label"
line 1 column 59804 - Warning: <li> proprietary attribute "label"
line 1 column 60188 - Warning: <li> proprietary attribute "label"
line 1 column 60445 - Warning: <li> proprietary attribute "label"
line 1 column 60761 - Warning: <li> proprietary attribute "label"
line 1 column 61037 - Warning: <li> proprietary attribute "label"
line 1 column 61300 - Warning: <li> proprietary attribute "label"
line 1 column 61492 - Warning: <li> proprietary attribute "label"
line 1 column 61759 - Warning: <li> proprietary attribute "label"
line 1 column 61967 - Warning: <li> proprietary attribute "label"
line 1 column 62325 - Warning: <li> proprietary attribute "label"
line 1 column 62519 - Warning: <li> proprietary attribute "label"
line 1 column 62720 - Warning: <li> proprietary attribute "label"
line 1 column 63049 - Warning: <li> proprietary attribute "label"
line 1 column 63320 - Warning: <li> proprietary attribute "label"
line 1 column 63625 - Warning: <li> proprietary attribute "label"
line 1 column 63950 - Warning: <li> proprietary attribute "label"
line 1 column 64246 - Warning: <li> proprietary attribute "label"
line 1 column 64587 - Warning: <li> proprietary attribute "label"
line 1 column 64864 - Warning: <li> proprietary attribute "label"
line 1 column 65135 - Warning: <li> proprietary attribute "label"
line 1 column 65361 - Warning: <li> proprietary attribute "label"
line 1 column 65599 - Warning: <li> proprietary attribute "label"
line 1 column 65906 - Warning: <li> proprietary attribute "label"
line 1 column 66167 - Warning: <li> proprietary attribute "label"
line 1 column 66376 - Warning: <li> proprietary attribute "label"
line 1 column 66631 - Warning: <li> proprietary attribute "label"
line 1 column 66968 - Warning: <li> proprietary attribute "label"
line 1 column 67331 - Warning: <li> proprietary attribute "label"
line 1 column 67630 - Warning: <li> proprietary attribute "label"
line 1 column 67989 - Warning: <li> proprietary attribute "label"
line 1 column 68421 - Warning: <li> proprietary attribute "label"
line 1 column 68730 - Warning: <li> proprietary attribute "label"
line 1 column 69064 - Warning: <li> proprietary attribute "label"
line 1 column 69369 - Warning: <li> proprietary attribute "label"
line 1 column 69696 - Warning: <li> proprietary attribute "label"
