line 1 column 21450 - Warning: inserting implicit <p>
line 1 column 24563 - Warning: inserting implicit <p>
line 1 column 26122 - Warning: inserting implicit <p>
line 1 column 28600 - Warning: inserting implicit <p>
line 1 column 38161 - Error: <appendix> is not recognized!
line 1 column 38161 - Warning: discarding unexpected <appendix>
line 1 column 38944 - Warning: discarding unexpected </appendix>
line 1 column 39294 - Warning: nested emphasis <em>
line 1 column 39595 - Warning: nested emphasis <em>
line 1 column 39920 - Warning: nested emphasis <em>
line 1 column 40200 - Warning: nested emphasis <em>
line 1 column 40473 - Warning: nested emphasis <em>
line 1 column 40929 - Warning: nested emphasis <em>
line 1 column 41267 - Warning: nested emphasis <em>
line 1 column 41517 - Warning: nested emphasis <em>
line 1 column 42135 - Warning: nested emphasis <em>
line 1 column 42384 - Warning: nested emphasis <em>
line 1 column 15293 - Warning: <table> lacks "summary" attribute
line 1 column 20530 - Warning: <img> attribute "longdesc" lacks value
line 1 column 20904 - Warning: <img> attribute "longdesc" lacks value
line 1 column 24218 - Warning: <img> attribute "longdesc" lacks value
line 1 column 25743 - Warning: <img> attribute "longdesc" lacks value
line 1 column 27702 - Warning: <img> attribute "longdesc" lacks value
line 1 column 28077 - Warning: <img> attribute "longdesc" lacks value
line 1 column 38427 - Warning: <img> attribute "longdesc" lacks value
line 1 column 38598 - Warning: <img> attribute "longdesc" lacks value
line 1 column 38769 - Warning: <img> attribute "longdesc" lacks value
line 1 column 3425 - Warning: <font> element removed from HTML5
line 1 column 3525 - Warning: <font> element removed from HTML5
line 1 column 3658 - Warning: <font> element removed from HTML5
line 1 column 3717 - Warning: <font> element removed from HTML5
line 1 column 3927 - Warning: <font> element removed from HTML5
line 1 column 3986 - Warning: <font> element removed from HTML5
line 1 column 4076 - Warning: <font> element removed from HTML5
line 1 column 4391 - Warning: <font> element removed from HTML5
line 1 column 4574 - Warning: <font> element removed from HTML5
line 1 column 4632 - Warning: <font> element removed from HTML5
line 1 column 4741 - Warning: <font> element removed from HTML5
line 1 column 7590 - Warning: <font> element removed from HTML5
line 1 column 7857 - Warning: <font> element removed from HTML5
line 1 column 7948 - Warning: <font> element removed from HTML5
line 1 column 8254 - Warning: <font> element removed from HTML5
line 1 column 8441 - Warning: <font> element removed from HTML5
line 1 column 8623 - Warning: <font> element removed from HTML5
line 1 column 9217 - Warning: <font> element removed from HTML5
line 1 column 9364 - Warning: <font> element removed from HTML5
line 1 column 9519 - Warning: <font> element removed from HTML5
line 1 column 9685 - Warning: <font> element removed from HTML5
line 1 column 10003 - Warning: <font> element removed from HTML5
line 1 column 10136 - Warning: <font> element removed from HTML5
line 1 column 10488 - Warning: <font> element removed from HTML5
line 1 column 10679 - Warning: <font> element removed from HTML5
line 1 column 10791 - Warning: <font> element removed from HTML5
line 1 column 11317 - Warning: <font> element removed from HTML5
line 1 column 11692 - Warning: <font> element removed from HTML5
line 1 column 11782 - Warning: <font> element removed from HTML5
line 1 column 11995 - Warning: <font> element removed from HTML5
line 1 column 12278 - Warning: <font> element removed from HTML5
line 1 column 12387 - Warning: <font> element removed from HTML5
line 1 column 12794 - Warning: <font> element removed from HTML5
line 1 column 12917 - Warning: <font> element removed from HTML5
line 1 column 13013 - Warning: <font> element removed from HTML5
line 1 column 13440 - Warning: <font> element removed from HTML5
line 1 column 13557 - Warning: <font> element removed from HTML5
line 1 column 13685 - Warning: <tt> element removed from HTML5
line 1 column 13702 - Warning: <tt> element removed from HTML5
line 1 column 14971 - Warning: <font> element removed from HTML5
line 1 column 15210 - Warning: <font> element removed from HTML5
line 1 column 15575 - Warning: <tt> element removed from HTML5
line 1 column 15801 - Warning: <tt> element removed from HTML5
line 1 column 16026 - Warning: <tt> element removed from HTML5
line 1 column 16237 - Warning: <tt> element removed from HTML5
line 1 column 16373 - Warning: <font> element removed from HTML5
line 1 column 16431 - Warning: <font> element removed from HTML5
line 1 column 16690 - Warning: <font> element removed from HTML5
line 1 column 17008 - Warning: <font> element removed from HTML5
line 1 column 17856 - Warning: <font> element removed from HTML5
line 1 column 17979 - Warning: <font> element removed from HTML5
line 1 column 18955 - Warning: <font> element removed from HTML5
line 1 column 19497 - Warning: <font> element removed from HTML5
line 1 column 19575 - Warning: <font> element removed from HTML5
line 1 column 19632 - Warning: <font> element removed from HTML5
line 1 column 19691 - Warning: <font> element removed from HTML5
