line 1 column 34629 - Warning: inserting implicit <p>
line 1 column 39918 - Warning: nested emphasis <em>
line 1 column 42587 - Warning: nested emphasis <em>
line 1 column 45022 - Warning: nested emphasis <em>
line 1 column 46851 - Warning: nested emphasis <em>
line 1 column 47274 - Warning: nested emphasis <em>
line 1 column 48597 - Warning: nested emphasis <em>
line 1 column 51577 - Warning: nested emphasis <em>
line 1 column 52979 - Warning: nested emphasis <em>
line 1 column 14147 - Warning: <table> lacks "summary" attribute
line 1 column 16941 - Warning: <table> lacks "summary" attribute
line 1 column 24847 - Warning: <table> lacks "summary" attribute
line 1 column 35211 - Warning: <table> lacks "summary" attribute
line 1 column 37218 - Warning: <table> lacks "summary" attribute
line 1 column 29413 - Warning: <font> element removed from HTML5
line 1 column 27022 - Warning: <li> proprietary attribute "label"
line 1 column 27248 - Warning: <li> proprietary attribute "label"
line 1 column 27407 - Warning: <li> proprietary attribute "label"
line 1 column 27511 - Warning: <li> proprietary attribute "label"
line 1 column 27623 - Warning: <li> proprietary attribute "label"
line 1 column 28250 - Warning: <li> proprietary attribute "label"
line 1 column 28481 - Warning: <li> proprietary attribute "label"
line 1 column 28972 - Warning: <li> proprietary attribute "label"
line 1 column 29541 - Warning: <li> proprietary attribute "label"
line 1 column 30296 - Warning: <li> proprietary attribute "label"
line 1 column 39284 - Warning: <li> proprietary attribute "label"
line 1 column 39793 - Warning: <li> proprietary attribute "label"
line 1 column 40124 - Warning: <li> proprietary attribute "label"
line 1 column 40659 - Warning: <li> proprietary attribute "label"
line 1 column 41218 - Warning: <li> proprietary attribute "label"
line 1 column 41758 - Warning: <li> proprietary attribute "label"
line 1 column 42321 - Warning: <li> proprietary attribute "label"
line 1 column 42695 - Warning: <li> proprietary attribute "label"
line 1 column 42976 - Warning: <li> proprietary attribute "label"
line 1 column 43416 - Warning: <li> proprietary attribute "label"
line 1 column 43952 - Warning: <li> proprietary attribute "label"
line 1 column 44443 - Warning: <li> proprietary attribute "label"
line 1 column 44970 - Warning: <li> proprietary attribute "label"
line 1 column 45135 - Warning: <li> proprietary attribute "label"
line 1 column 45675 - Warning: <li> proprietary attribute "label"
line 1 column 46110 - Warning: <li> proprietary attribute "label"
line 1 column 46384 - Warning: <li> proprietary attribute "label"
line 1 column 46664 - Warning: <li> proprietary attribute "label"
line 1 column 47061 - Warning: <li> proprietary attribute "label"
line 1 column 47484 - Warning: <li> proprietary attribute "label"
line 1 column 47668 - Warning: <li> proprietary attribute "label"
line 1 column 48459 - Warning: <li> proprietary attribute "label"
line 1 column 48752 - Warning: <li> proprietary attribute "label"
line 1 column 49318 - Warning: <li> proprietary attribute "label"
line 1 column 49837 - Warning: <li> proprietary attribute "label"
line 1 column 50363 - Warning: <li> proprietary attribute "label"
line 1 column 50876 - Warning: <li> proprietary attribute "label"
line 1 column 51441 - Warning: <li> proprietary attribute "label"
line 1 column 51832 - Warning: <li> proprietary attribute "label"
line 1 column 52320 - Warning: <li> proprietary attribute "label"
line 1 column 52794 - Warning: <li> proprietary attribute "label"
line 1 column 53264 - Warning: <li> proprietary attribute "label"
line 1 column 53821 - Warning: <li> proprietary attribute "label"
